quantile_level,empirical_frequency,calibration_error,absolute_calibration_error,pointwise_lower,pointwise_upper,inside_pointwise_band
0.05,0.073,0.022999999999999993,0.022999999999999993,0.038,0.063,False
0.1,0.128,0.027999999999999997,0.027999999999999997,0.083,0.1175,False
0.25,0.265,0.015000000000000013,0.015000000000000013,0.2255,0.275,True
0.5,0.5005,0.0004999999999999449,0.0004999999999999449,0.471,0.529,True
0.75,0.733,-0.017000000000000015,0.017000000000000015,0.725,0.7745,True
0.9,0.889,-0.01100000000000001,0.01100000000000001,0.8825,0.917,True
0.95,0.929,-0.020999999999999908,0.020999999999999908,0.937,0.962,False
