feature,mae,rmse,observed_std_normalized_rmse,predictive_coverage,mean_predictive_width
bmi,3.1958045768737793,4.012387685881868,0.9968353628540695,0.82,9.970285305023195
sbp,14.390946922302247,17.66683660566514,0.7744469457873875,0.87,53.46939282226563
platelets,0.3176362729072571,0.3827659245282765,1.002200343519161,0.81,0.9476722245216368
crp,0.8553193877045123,1.0262923843752332,0.958026948207062,0.79,2.695284848034382
hba1c,0.12212668955326081,0.15070591705706612,0.978021707278655,0.77,0.3768033493757248
creatinine,0.18551097017945722,0.23120344233299214,0.9154615626190278,0.82,0.6086139818137746
bun,0.21133599996566774,0.25667410750598535,0.8890172083422871,0.8,0.6974889550209046
tc,0.13530830144882203,0.17116839574170153,0.9596847345476996,0.87,0.5048001432418824
tg,0.3919448590278625,0.5005997299986228,0.9944602202615485,0.85,1.395056362390518
