feature,brier_score,log_score,observed_prevalence,mean_predicted_probability
smoke,0.22536725000000002,0.6412769810958636,0.41,0.38815
drink,0.234354,0.6607584149620024,0.4,0.4188
hypertension,0.16281350000000003,0.4925644195779807,0.27,0.2694
dyslipidemia,0.034512999999999995,0.17311916214849743,0.03,0.096
diabetes,0.069476,0.25048020489438744,0.08,0.0694
cancer,0.000147750000000014,0.009225240331998692,0.0,0.0091500014
cvd,0.12406299999999999,0.41137803088668856,0.15,0.1316
arthritis,0.2202525,0.6327172974072716,0.33,0.3642
koa,0.08400324999999997,0.30067244844813945,0.1,0.12104999999999996
