batch,bo_category_policies,bo_design_mode,bo_random_fraction,budget,categorical_ucb_weight,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,final_score_only,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,predictive_timeout_seconds,predictive_weight,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,target_mode,target_psi_unit,target_seed,target_theta,validation
14,,categorical,0.2,500,1.0,0.37000000000000005,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,random,10,0.06,8,1.0004354418244883,-0.46970092570677846,32,0.5,0.1,0.960101332985781,1.0744205976841688,1.0149423814445686,0.7807576938987627,0.970284658915624,0.2771573815243296,0.3101585106479168,0.29298862856949076,0.22538533237216105,0.2800970545077499,0.2092513852137673,0,rmse_coverage_predictive,0.3101585106479168,0.017579317714169446,0.013523119942329662,0.2800970545077499,30,30,717,500,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.46416666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,fixed_dumb,10,0.06,8,1.0817486433856247,-0.6069131904170548,32,0.5,0.1,1.3257001159763284,1.3125068531707997,1.187519537527483,1.1191524063249345,1.683621666882097,0.38269665941182573,0.378888092495695,0.34280736232971615,0.3230714715279592,0.4860197112939326,0.3084518430117745,0,rmse_coverage_predictive,0.378888092495695,0.020568441739782967,0.01938428829167755,0.4860197112939326,30,30,717,500,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,80,1.0,0.21333333333333335,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.971737671192831,-0.41023908289261296,32,0.5,0.1,0.8997379798733227,0.8469526681459707,0.9598555218039533,0.8312364374799684,0.9609072920633986,0.2597319824399965,0.244494175472474,0.27708642194833055,0.23995729046964268,0.2773900418695388,0.18520685743221618,0,rmse_coverage_predictive,0.244494175472474,0.016625185316899833,0.01439743742817856,0.2773900418695388,0,30,717,80,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,94,1.0,0.27,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0278143529296522,-0.4636823512703734,32,0.5,0.1,1.0163705869202362,0.8920355366044538,1.1465469951082745,0.977414803879392,1.0494850120888242,0.29340091597740814,0.25750847859264686,0.33097960813215943,0.2821553500648461,0.30296022711998016,0.19923383791222565,0,rmse_coverage_predictive,0.25750847859264686,0.019858776487929566,0.016929321003890767,0.30296022711998016,1,30,717,94,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,108,1.0,0.3791666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0204189899466498,-0.49611955686004844,32,0.5,0.1,1.0367570854995785,0.9079379765273123,1.1193713022179022,0.9543523987443566,1.1653666645087428,0.2992859911987168,0.262099117577764,0.3231346613293239,0.2754978071584097,0.3364123787293695,0.21361084369792696,0,rmse_coverage_predictive,0.262099117577764,0.019388079679759432,0.01652986842950458,0.3364123787293695,2,30,717,108,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,122,1.0,0.365,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0566002930116118,-0.49813513555943195,32,0.5,0.1,1.0434743771093173,0.9786362091147557,1.274504015448693,0.9409420813565238,0.9798152025172971,0.30122510625827076,0.28250793938555957,0.367917618201281,0.2716265819815179,0.2828482854647246,0.20035394190779485,0,rmse_coverage_predictive,0.28250793938555957,0.02207505709207686,0.016297594918891073,0.2828482854647246,3,30,717,122,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,136,1.0,0.375,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.1267852445124753,-0.5439728667822815,32,0.5,0.1,1.1692879014495459,1.186213581641396,1.454552862255545,0.9440142018841358,1.092370960017107,0.337544342331034,0.34243036533852506,0.41989324328688976,0.27251342678831775,0.31534033391040334,0.23323815476318235,0,rmse_coverage_predictive,0.34243036533852506,0.025193594597213386,0.016350805607299065,0.31534033391040334,4,30,717,136,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,150,1.0,0.36083333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0700098727651768,-0.49364522303092756,32,0.5,0.1,1.026884088361669,1.0577123287836019,1.1135492411109726,0.8851897640128703,1.0510850195392314,0.29643590242107654,0.30533524887419927,0.32145397705566175,0.255532274268366,0.3034221094860792,0.21558157190449917,0,rmse_coverage_predictive,0.30533524887419927,0.019287238623339704,0.01533193645610196,0.3034221094860792,5,30,717,150,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,164,1.0,0.28750000000000003,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.068690647876182,-0.47504242033520205,32,0.5,0.1,1.0264076120150458,0.9665155863786958,1.219509225777904,0.9720752247571476,0.9475304111464355,0.2962983555475838,0.27900901698585456,0.3520419898910525,0.2806139463430526,0.2735284689703757,0.19582740793552994,0,rmse_coverage_predictive,0.27900901698585456,0.02112251939346315,0.016836836780583155,0.2735284689703757,6,30,717,164,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,178,1.0,0.4091666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0874248987255732,-0.514622146313549,32,0.5,0.1,1.0516596457136629,1.0196581610722908,1.066947651013529,0.9763152880879549,1.1437174826808776,0.30358798977432494,0.294349956888243,0.3080012567619499,0.2818379471957639,0.3301627982513429,0.22151571113512178,0,rmse_coverage_predictive,0.294349956888243,0.018480075405716993,0.016910276831745834,0.3301627982513429,7,30,717,178,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
