coverage_error_mean,coverage_error_std,method,posterior_mean_predictive_rmse_mean,posterior_mean_predictive_rmse_std,posterior_quality_objective_mean,posterior_quality_objective_std,prior_std_normalized_rmse_mean,prior_std_normalized_rmse_std,range_normalized_rmse_mean,range_normalized_rmse_std,raw_rmse_mean,raw_rmse_std,replicates,round,simulations_mean
0.2121666666666667,0.07250976945671989,bo,1.1390759363400798,0.5900707584079555,-0.43081213698026366,0.06751325295365307,0.9140478172806583,0.06495774432847991,0.26386287667958896,0.018751685586999384,0.19331059997357655,0.011990166650322223,10,0,80.0
0.35374999999999995,0.06965016750398619,bo,0.9783861678703657,0.031225779601654093,-0.45908207264360623,0.03010645354392051,0.9450275523019418,0.05457418006318669,0.2728059558565696,0.01575420877514197,0.2003523862534788,0.011941466421435565,10,1,94.0
0.364,0.03816957776379857,bo,0.9844930289866696,0.04110216773405156,-0.46404935202870246,0.020103048512359098,0.9512424737082623,0.05716706247683572,0.27460004913003544,0.01650270945489064,0.2052541441444911,0.015596346077536549,10,2,108.0
0.352,0.0812149069513172,bo,1.0545085643242293,0.15387591234462716,-0.46515292266603847,0.04553558517408907,0.9412035664761327,0.08413621774215395,0.27170206623361554,0.024288033981014787,0.20174429232021449,0.018225198416097866,10,3,122.0
0.35466666666666663,0.04023058537978287,bo,0.9800100620032859,0.0700324664324808,-0.45770952690268923,0.026485134756388837,0.9389165243349789,0.06001034132926841,0.2710418540356939,0.017323493360307238,0.20090471482939815,0.01596446267858054,10,4,136.0
0.3454166666666667,0.029868345376929662,bo,0.971853134788517,0.0589759912145819,-0.449669269358575,0.0314859463888471,0.9219006326492197,0.07130571985256187,0.2661297892130567,0.020584188275818312,0.19584027673465845,0.017111880454558914,10,5,150.0
0.3039166666666667,0.03171717463247106,bo,0.9570649122462426,0.0648283208090296,-0.4299577096178062,0.030079407536464417,0.8946806315307633,0.06830766196208016,0.25827205172651535,0.019718723510760476,0.19103178754592057,0.017367652554508513,10,6,164.0
0.3086666666666667,0.054517071740062414,bo,0.9737894818390295,0.054431687110198745,-0.4299304387478732,0.02541302713260829,0.8846789809443203,0.040919879574775754,0.2553848238973036,0.01181255174385192,0.19000467171119412,0.010610372668083342,10,7,178.0
0.32225000000000004,0.03967060554673252,bo,0.9464487292664323,0.057955801243922876,-0.430070854571439,0.027309482684606545,0.8828729984053684,0.06394529554287547,0.2548634816447958,0.01845941679754467,0.1871638109265156,0.016686189573479806,10,8,192.0
0.2938333333333334,0.044559884799372326,bo,0.9731111613594654,0.09777931016637799,-0.42530675662817713,0.010922528381724339,0.8817430968419506,0.03435462153049813,0.25453730715889716,0.009917324994270399,0.18671134770594605,0.01342182973037828,10,9,206.0
0.31000000000000005,0.05630151961635771,bo,0.9232622209898974,0.05219422072043779,-0.42224135273639607,0.037653025672506016,0.8743916617262462,0.0780339081923633,0.2524151306374063,0.02252644895038975,0.18513055122481853,0.023890126786587855,10,10,220.0
0.33,0.04650716790632028,bo,0.9578694709638238,0.07840013782840666,-0.43079759739320345,0.03635920876718976,0.8747225515327024,0.08971507647452223,0.2525106502968211,0.02589851177646664,0.1883045234293636,0.024896668701190394,10,11,234.0
0.29816666666666675,0.048344538930932456,bo,0.9410375842422877,0.05470186200541998,-0.41384030367045427,0.03529390688316371,0.8493799749109554,0.06738776588864498,0.24519487857955885,0.019453172387948317,0.1788761620848945,0.019427663606436708,10,12,248.0
0.3105833333333334,0.026468141226765416,bo,0.9317264115991317,0.041538718765805525,-0.4184922473125444,0.027317716034405366,0.8579671164505912,0.07319393634841291,0.24767377281929792,0.021129269426902263,0.18200178876385673,0.018402487717614564,10,13,262.0
0.32158333333333333,0.05587119363122449,bo,0.9580850651953536,0.052042651476717106,-0.4193991847287376,0.036640796900261494,0.8424516549276732,0.07558072111015629,0.2431948448758689,0.021818274839247385,0.18141870287494935,0.022763529859964497,10,14,276.0
0.2879166666666667,0.048296322036178105,bo,0.9665910712486643,0.0583404537615505,-0.40522688394432815,0.03730641922641327,0.8195669865534938,0.09848237982223394,0.23658861015279506,0.02842941425040087,0.174994736459194,0.0252262429643291,10,15,290.0
0.2968333333333334,0.05391711746333956,bo,0.9408085099212874,0.0363827981490675,-0.40290006900854064,0.03587683022404346,0.8127159445595499,0.08157703625834699,0.2346108846830786,0.023549261921724244,0.17404742848739824,0.02205509762949895,10,16,304.0
0.28841666666666665,0.045303682092199864,bo,0.9284545813405009,0.05924493550437189,-0.39170192807612725,0.02157374895769999,0.7854930200125553,0.04403004285996534,0.2267523032754105,0.012710378548815873,0.16868549516448803,0.011754261117769319,10,17,318.0
0.30333333333333334,0.036859342250114974,bo,0.9329973487425983,0.038056165929336985,-0.403882943738059,0.032331172605976,0.8131974229784735,0.08427189865110406,0.23474987553046578,0.02432720168566789,0.17429967283524156,0.022510050175080506,10,18,332.0
0.30700000000000005,0.04588966235560152,bo,0.9497732894113495,0.04768002230752795,-0.4108741062427634,0.03655306897307375,0.8284287375055597,0.08289371141325416,0.23914677730162834,0.023929353299284736,0.17727077936796135,0.021657033034923247,10,19,346.0
0.29900000000000004,0.03503926369089396,bo,1.003726319557065,0.16440992724500242,-0.40629651570896125,0.02586062655944046,0.8008098240873173,0.04018660969880821,0.2311738837532548,0.01160087496371268,0.17102872272651848,0.008569809033171484,10,20,360.0
0.2908333333333334,0.04076013847975604,bo,0.9357741211572701,0.073153022785775,-0.39369192698046446,0.025480426906399053,0.7877581207352463,0.06276657865996324,0.22740618153140407,0.018119150542720786,0.1689640062139133,0.01408830939901145,10,21,374.0
0.2938333333333333,0.045886635672419185,bo,0.938650012668625,0.05259665895766799,-0.3946363371394685,0.025705073116083648,0.7874353392381068,0.0448997320041373,0.22731300253927267,0.01296143617956537,0.1693714962552893,0.010989390847506194,10,22,388.0
0.26916666666666667,0.03231141869026765,bo,0.9144068995781091,0.04622913680693166,-0.38082965084350634,0.020796900854019827,0.7693675956218624,0.0435457964965531,0.22209729421902874,0.012570588664680802,0.1644188773346326,0.010583690345570844,10,23,402.0
0.28541666666666665,0.04492006789843489,bo,0.9234494469905389,0.049296591408017405,-0.38658321820495145,0.02675713665151436,0.7720931944903155,0.049776693537506383,0.22288410683923088,0.014369293706624408,0.16464793012406823,0.013026385603673338,10,24,416.0
0.2853333333333333,0.03756512862867488,bo,0.9498615379929548,0.04699102038813419,-0.3918849381707247,0.02038586699567578,0.7813816432603438,0.04112927310808348,0.22556545103809586,0.011872998450262814,0.16678340171747566,0.011867534051001946,10,25,430.0
0.2773333333333333,0.0353294022970481,bo,0.9209142646774395,0.06076993710159602,-0.3819425167417327,0.0216822452921346,0.7638959179846793,0.048479260654492554,0.22051775694065548,0.013994757094492645,0.16399634896382093,0.013313733628089517,10,26,444.0
