left_method,right_method,metric,n,mean_delta_left_minus_right,std_delta,approx_95_ci_low,approx_95_ci_high,higher_is_better,left_wins,right_wins_or_ties
bo,random,range_normalized_rmse,10,0.011240443445608591,0.018476755715176676,-0.00021156839316776796,0.02269245528438495,False,3,7
bo,random,posterior_quality_objective,10,-0.020172279454732427,0.029702026547891763,-0.03858178623750117,-0.0017627726719636819,True,4,6
bo,random,coverage_error,10,0.03508333333333332,0.04906290054487752,0.004673832523452003,0.06549283414321463,False,2,8
bo,random,posterior_mean_predictive_rmse,10,0.0016100267579051031,0.06625128664280738,-0.03945294612885536,0.04267299964466556,False,5,5
bo,bo_marginal_random,range_normalized_rmse,10,0.0010549952474729145,0.010306177123261314,-0.005332839513538107,0.007442830008483937,False,5,5
bo,bo_marginal_random,posterior_quality_objective,10,-0.005283731904873373,0.017811664230036623,-0.01632351577034612,0.005756051960599373,True,4,6
bo,bo_marginal_random,coverage_error,10,0.012999999999999989,0.03636279811042808,-0.009537895768660666,0.03553789576866064,False,4,6
bo,bo_marginal_random,posterior_mean_predictive_rmse,10,0.009787366574004641,0.04068565595050301,-0.01542986424270354,0.03500459739071282,False,4,6
bo,fixed_dumb,range_normalized_rmse,10,-0.11029031420283089,0.02752476488933864,-0.12735034022857564,-0.09323028817708615,False,10,0
bo,fixed_dumb,posterior_quality_objective,10,0.17470101294570856,0.06556927619064985,0.13406075451665247,0.21534127137476464,True,10,0
bo,fixed_dumb,coverage_error,10,-0.15675,0.03440735009762797,-0.17807589653362696,-0.13542410346637304,False,10,0
bo,fixed_dumb,posterior_mean_predictive_rmse,10,-0.2522319874287765,0.4506457316778449,-0.5315451056960527,0.027081130838499667,False,9,1
structured_medium_mid,bo,range_normalized_rmse,10,0.044763701097447026,0.014856690521435493,0.03555542891161276,0.053971973283281294,False,0,10
structured_medium_mid,bo,posterior_quality_objective,10,-0.08224385668849929,0.02460570627632324,-0.09749463144147454,-0.06699308193552404,True,0,10
structured_medium_mid,bo,coverage_error,10,0.13591666666666666,0.04141861348729429,0.11024514406204684,0.16158818927128646,False,0,10
structured_medium_mid,bo,posterior_mean_predictive_rmse,10,0.035009889243855855,0.0691226806776279,-0.007832792104035924,0.07785257059174763,False,4,6
structured_medium_mid,random,range_normalized_rmse,10,0.05600414454305562,0.0216998540937352,0.042554435632467316,0.06945385345364392,False,0,10
structured_medium_mid,random,posterior_quality_objective,10,-0.10241613614323171,0.029829189527485582,-0.12090445935731617,-0.08392781292914725,True,0,10
structured_medium_mid,random,coverage_error,10,0.17099999999999999,0.05037942456750659,0.13977450914697503,0.20222549085302494,False,0,10
structured_medium_mid,random,posterior_mean_predictive_rmse,10,0.036619916001760955,0.0344380191743065,0.015275010577470449,0.05796482142605146,False,1,9
