coverage_error,coverage_weight,objective,posterior_mean_predictive_rmse,pred0,predictive_weight,prey0,psi0_unit,psi1_unit,range_normalized_rmse,replicate,reward_delta_objective,reward_mode,round,simulations,t_end,t_span,t_start,validation_log_posterior
0.355,0.25,-0.47676097172954335,0.9745371394610383,15.0,0.1,40.0,0.951217803728873,0.7965552881727637,0.29055725778343955,0,-0.044661033469518996,rmse_coverage_predictive,1,94,36.52654605378528,22.926791682035205,13.599754371750073,
0.37333333333333335,0.25,-0.487967991888487,1.0041723994262834,15.0,0.1,40.0,0.9146774704349688,0.5027648977721,0.2942174186125253,0,-0.011207020158943648,rmse_coverage_predictive,2,108,31.11088051672015,22.122904349569314,8.987976167150837,
0.3758333333333333,0.25,-0.48849637884153807,1.0222003359647782,15.0,0.1,40.0,0.010819245864663762,0.8854407594746859,0.2923180119117269,0,-0.0005283869530510743,rmse_coverage_predictive,3,122,35.67401664100294,2.2380234090226026,33.43599323198034,
0.3833333333333333,0.25,-0.4709863918209647,0.9687114149630304,15.0,0.1,40.0,0.21500261029102796,0.48682128850573336,0.2782819169913283,0,0.01750998702057338,rmse_coverage_predictive,4,136,22.92657373859305,6.730057426402615,16.196516312190433,
0.36500000000000005,0.25,-0.4663858945651846,1.0616526615912774,15.0,0.1,40.0,0.21500261029102796,0.48682128850573336,0.26897062840605684,0,0.0046004972557801005,rmse_coverage_predictive,5,150,22.92657373859305,6.730057426402615,16.196516312190433,
0.37000000000000005,0.25,-0.4778000308181254,1.0241742311608888,15.0,0.1,40.0,0.06188014965495536,0.5248131727541449,0.2828826077020365,0,-0.011414136252940799,rmse_coverage_predictive,6,164,22.589802468306317,3.3613632924090178,19.2284391758973,
0.32083333333333336,0.25,-0.44218315406609826,0.9818003874665565,15.0,0.1,40.0,0.19832452333502315,0.26937409204539553,0.2637947819861093,0,0.03561687675202713,rmse_coverage_predictive,7,178,15.424038266213968,6.363139513370509,9.060898752843459,
0.2616666666666667,0.25,-0.4161314753902662,0.9826404050534627,15.0,0.1,40.0,0.16621960525199508,0.12051067854829234,0.25245076821825324,0,0.02605167867583208,rmse_coverage_predictive,8,192,9.795549877206163,5.656831315543892,4.13871856166227,
0.34166666666666673,0.25,-0.4397982357940359,1.0127752551585658,15.0,0.1,40.0,0.19832452333502315,0.26937409204539553,0.2531040436115126,0,-0.023666760403769693,rmse_coverage_predictive,9,206,15.424038266213968,6.363139513370509,9.060898752843459,
0.36000000000000004,0.25,-0.4542238050439287,0.9543495446333317,15.0,0.1,40.0,0.16621960525199508,0.12051067854829234,0.2687888505805955,0,-0.0144255692498928,rmse_coverage_predictive,10,220,9.795549877206163,5.656831315543892,4.13871856166227,
0.3325,0.25,-0.4345102468361286,0.9840286787472926,15.0,0.1,40.0,0.3914919551461278,0.8751396439146844,0.25298237896139936,0,0.019713558207800075,rmse_coverage_predictive,11,234,36.33070661708781,10.612823013214811,25.717883603873,
