approach_name,simulator_variant,batch_count,batch_size,num_training_sims,epochs,training_seed,network_seed,epoch,loss,mean/inference_mean,quantiles/inference_quantiles
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,36,0.18840932846069336,0.21280962228775024,0.16400901973247528
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,37,0.18690916895866394,0.2125665247440338,0.16125182807445526
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,38,0.18500861525535583,0.212303027510643,0.15771418809890747
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,39,0.18371665477752686,0.21183447539806366,0.15559881925582886
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,40,0.18079349398612976,0.2079908400774002,0.1535961627960205
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,41,0.17584219574928284,0.19946999847888947,0.15221437811851501
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,42,0.17280390858650208,0.19473138451576233,0.15087641775608063
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,43,0.1731574982404709,0.1970110535621643,0.14930394291877747
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,44,0.1730639636516571,0.19771282374858856,0.14841511845588684
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,45,0.17030102014541626,0.1930822730064392,0.1475197821855545
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,46,0.1667361855506897,0.18808814883232117,0.14538422226905823
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,47,0.16427814960479736,0.18519249558448792,0.1433638036251068
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,48,0.16322287917137146,0.18425887823104858,0.14218688011169434
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,49,0.16305646300315857,0.18476533889770508,0.14134760200977325
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,50,0.16183701157569885,0.18386144936084747,0.13981257379055023
batch_count_learning_curve,copula_residual_noise_0_5_latent_noise_0_5,1,128,128,300,1334,1434,51,0.15962561964988708,0.18076734244823456,0.1384839117527008
