budget,coverage_error_mean,coverage_error_std,method,posterior_mean_predictive_rmse_mean,posterior_mean_predictive_rmse_std,prior_std_normalized_rmse_alpha_mean,prior_std_normalized_rmse_alpha_std,prior_std_normalized_rmse_beta_mean,prior_std_normalized_rmse_beta_std,prior_std_normalized_rmse_delta_mean,prior_std_normalized_rmse_delta_std,prior_std_normalized_rmse_gamma_mean,prior_std_normalized_rmse_gamma_std,prior_std_normalized_rmse_mean,prior_std_normalized_rmse_std,range_normalized_rmse_alpha_mean,range_normalized_rmse_alpha_std,range_normalized_rmse_beta_mean,range_normalized_rmse_beta_std,range_normalized_rmse_delta_mean,range_normalized_rmse_delta_std,range_normalized_rmse_gamma_mean,range_normalized_rmse_gamma_std,range_normalized_rmse_mean,range_normalized_rmse_std,raw_rmse_mean,raw_rmse_std,replicates,rmse_alpha_mean,rmse_alpha_std,rmse_beta_mean,rmse_beta_std,rmse_delta_mean,rmse_delta_std,rmse_gamma_mean,rmse_gamma_std,validation_log_posterior_mean,validation_log_posterior_std
60,0.11064814814814819,0.022685185185185204,gaussian_npe,0.8587961019930423,0.045122242629125675,0.907702774768568,0.0027260327935308415,0.9134456670635966,0.026341358926863068,0.7663050222767086,0.037107779831907606,0.8861338523511271,0.0034217519538508046,0.868396829115,0.01603621447977266,0.26203122067840157,0.0007869378835823893,0.26368905088463246,0.007604095333622468,0.22121320544640996,0.010712093337490597,0.2558048090964817,0.0009877747058279485,0.2506845715264814,0.004629256373339663,0.1833883381815058,8.482601716476579e-05,2,0.26203122067840157,0.0007869378835823893,0.015821343053077943,0.0004562457200173479,0.013272792326784598,0.0006427256002494363,0.2558048090964817,0.0009877747058279485,5.7111208730096585,0.21190572563719012
60,0.013888888888888885,0.006481481481481504,prior_mean,1.0358056130026358,0.043507136240857,1.0509775339383554,0.005110337345088922,0.9835775756943099,0.010959252883398551,0.9780833580829239,0.014015582374882873,1.0029214335715235,0.039447509640059886,1.0038899753217783,0.017383170560857586,0.3033910810657793,0.001475227320918454,0.28393438904799473,0.003163663801173666,0.28234834503953465,0.004045950128493986,0.28951847982428225,0.011387515154774458,0.2897980737443977,0.005018089101340134,0.21005744077374477,0.0044652229164733465,2,0.3033910810657793,0.001475227320918454,0.01703606334287968,0.00018981982807042032,0.01694090070237208,0.0002427570077096399,0.28951847982428225,0.011387515154774458,,
60,0.2916666666666667,0.014814814814814836,rectified_fmpe,0.9015226688488078,0.029551428271407443,0.9167228980947422,0.037126978111434006,0.9540657136632282,0.049412486748532325,0.7535762499275496,0.025024658249270693,0.9347070277590301,0.04768362626795297,0.8897679723611376,0.0398119373442975,0.2646351059936467,0.010717635403416886,0.27541504830402863,0.014264156262796979,0.21753872537528973,0.007223996588297421,0.2698266770450556,0.013765077230870087,0.25685388917950513,0.011492716371345343,0.18926542369727056,0.00867861615367431,2,0.2646351059936467,0.010717635403416886,0.016524902898241718,0.0008558493757678184,0.013052323522517385,0.0004334397952978448,0.2698266770450556,0.013765077230870087,,
100,0.11296296296296299,0.02129629629629628,gaussian_npe,0.8380605164448558,0.023069684289974083,0.9025217777984891,0.028512602633048723,0.8781979085717668,0.0081042847858121,0.7399473774232044,0.009170635223327395,0.8449493512318123,0.020183207620803445,0.8414041037563181,0.016492682565747985,0.26053559568072865,0.008230879402743752,0.253513899457838,0.0023395055013390176,0.21360440877072234,0.0026473343574139746,0.24391586769264328,0.00582639017649049,0.24289244290048306,0.004761027359496808,0.17872561250180552,0.004993348350643148,2,0.26053559568072865,0.008230879402743752,0.015210833967470277,0.00014037033008034057,0.012816264526243341,0.0001588400614448383,0.24391586769264328,0.00582639017649049,6.036171496496491,0.22026908920777943
100,0.013888888888888885,0.006481481481481504,prior_mean,1.0358056130026358,0.043507136240857,1.0509775339383554,0.005110337345088922,0.9835775756943099,0.010959252883398551,0.9780833580829239,0.014015582374882873,1.0029214335715235,0.039447509640059886,1.0038899753217783,0.017383170560857586,0.3033910810657793,0.001475227320918454,0.28393438904799473,0.003163663801173666,0.28234834503953465,0.004045950128493986,0.28951847982428225,0.011387515154774458,0.2897980737443977,0.005018089101340134,0.21005744077374477,0.0044652229164733465,2,0.3033910810657793,0.001475227320918454,0.01703606334287968,0.00018981982807042032,0.01694090070237208,0.0002427570077096399,0.28951847982428225,0.011387515154774458,,
100,0.3296296296296296,0.012037037037037013,rectified_fmpe,0.8770877916490345,0.008070830473721868,0.9213708821673552,0.0691850861985277,0.956609092326117,0.043579312265349,0.6488894097249354,0.06675556182656928,0.8582992436298346,0.015992052664738243,0.8462921569620605,0.04887800323879604,0.2659768634214028,0.01997201407031371,0.2761492584818636,0.012580263833748995,0.1873182376894944,0.019270670795237227,0.24776964967746862,0.004616507955440663,0.24430350231755732,0.014109864163685135,0.18209868523736072,0.008898232587556218,2,0.2659768634214028,0.01997201407031371,0.016568955508911815,0.0007548158300249401,0.011239094261369664,0.001156240247714234,0.24776964967746862,0.004616507955440663,,
140,0.14259259259259263,0.04814814814814814,gaussian_npe,0.895971540294024,0.023211805975862754,0.8141190458519783,0.03670695715969913,0.8992058354451468,0.0051070124773984205,0.6699917755158831,0.008480640071493961,0.8155686017434425,0.015282931505800568,0.7997213146391127,0.016394385303598047,0.2350159251375205,0.010596385798642166,0.2595783655755689,0.0014742675142903894,0.19340996597446522,0.0024481499140886764,0.23543437587959165,0.004411802309440271,0.2308596581417866,0.004732651384115383,0.16662721192976887,0.0052993919154304125,2,0.2350159251375205,0.010596385798642166,0.015574701934534134,8.845605085742222e-05,0.011604597958467914,0.0001468889948453211,0.23543437587959165,0.004411802309440271,6.33716979701931,0.31621352157264626
140,0.013888888888888885,0.006481481481481504,prior_mean,1.0358056130026358,0.043507136240857,1.0509775339383554,0.005110337345088922,0.9835775756943099,0.010959252883398551,0.9780833580829239,0.014015582374882873,1.0029214335715235,0.039447509640059886,1.0038899753217783,0.017383170560857586,0.3033910810657793,0.001475227320918454,0.28393438904799473,0.003163663801173666,0.28234834503953465,0.004045950128493986,0.28951847982428225,0.011387515154774458,0.2897980737443977,0.005018089101340134,0.21005744077374477,0.0044652229164733465,2,0.3033910810657793,0.001475227320918454,0.01703606334287968,0.00018981982807042032,0.01694090070237208,0.0002427570077096399,0.28951847982428225,0.011387515154774458,,
140,0.27870370370370373,0.024999999999999967,rectified_fmpe,0.8065358752393814,0.02635009557212581,0.8316105986180164,0.02446278302690974,0.8644381220043192,0.005376243250926893,0.5932805499701277,0.019544023743666206,0.8232826143946772,0.04287255301916243,0.7781529712467852,0.020375779134702843,0.24006530148652885,0.007061797182856877,0.24954179121848413,0.0015519877440757779,0.17126534261511123,0.005641873684727058,0.2376612195199529,0.01237624001322997,0.22463341371001927,0.005881980784184532,0.16915905443705379,0.0068555731137969755,2,0.24006530148652885,0.007061797182856877,0.014972507473109048,9.311926464454674e-05,0.010275920556906674,0.0003385124210836237,0.2376612195199529,0.01237624001322997,,
