budget,coverage_error,method,posterior_mean_predictive_rmse,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,validation_log_posterior
60,0.02037037037037039,prior_mean,1.0793127492434929,1.0212731458826358,1.0560878712834443,0.9945368285777085,0.9920989404578068,1.0423689432115835,0.29481616284573786,0.30486630838669776,0.2870980528491684,0.2863942951680286,0.30090599497905673,0.2145226636902181,0,0.30486630838669776,0.017225883170950102,0.017183657710081717,0.30090599497905673,
60,0.08796296296296298,gaussian_npe,0.903918344622168,0.8523606146352274,0.9104288075620989,0.8871043081367336,0.729197242444801,0.8827121003972762,0.24605531515314172,0.26281815856198393,0.25608495555100996,0.21050111210891936,0.25481703439065373,0.18330351216434104,0,0.26281815856198393,0.015365097333060596,0.01263006672653516,0.25481703439065373,5.923026598646849
60,0.27685185185185185,rectified_fmpe,0.9310740971202153,0.84995603501684,0.8795959199833082,0.904653226914696,0.7285515916782789,0.8870234014910772,0.2453611728081598,0.2539174705902298,0.26115089204123165,0.2103147287869923,0.25606159981418547,0.18058680754359624,0,0.2539174705902298,0.0156690535224739,0.012618883727219539,0.25606159981418547,
100,0.02037037037037039,prior_mean,1.0793127492434929,1.0212731458826358,1.0560878712834443,0.9945368285777085,0.9920989404578068,1.0423689432115835,0.29481616284573786,0.30486630838669776,0.2870980528491684,0.2863942951680286,0.30090599497905673,0.2145226636902181,0,0.30486630838669776,0.017225883170950102,0.017183657710081717,0.30090599497905673,
100,0.09166666666666672,gaussian_npe,0.8611302007348298,0.8249114211905701,0.8740091751654403,0.8700936237859547,0.730776742199877,0.8247661436110089,0.23813141554098624,0.2523047162779849,0.25117439395649893,0.21095707441330838,0.23808947751615278,0.17373226415116236,0,0.2523047162779849,0.015070463637389937,0.012657424464798502,0.23808947751615278,6.25644058570427
100,0.3175925925925926,rectified_fmpe,0.8690169611753126,0.7974141537232645,0.8521857959688275,0.913029780060768,0.5821338478983661,0.8423071909650963,0.2301936381538722,0.24600484935108907,0.2635689946481146,0.16804756689425718,0.24315314172202795,0.1732004526498045,0,0.24600484935108907,0.015814139678886875,0.01008285401365543,0.24315314172202795,
140,0.02037037037037039,prior_mean,1.0793127492434929,1.0212731458826358,1.0560878712834443,0.9945368285777085,0.9920989404578068,1.0423689432115835,0.29481616284573786,0.30486630838669776,0.2870980528491684,0.2863942951680286,0.30090599497905673,0.2145226636902181,0,0.30486630838669776,0.017225883170950102,0.017183657710081717,0.30090599497905673,
140,0.09444444444444448,gaussian_npe,0.9191833462698868,0.7833269293355146,0.7774120886922792,0.8940988229677483,0.6615111354443891,0.800285670237642,0.22612700675767122,0.22441953933887834,0.25810409806127854,0.19096181606037654,0.23102257357015138,0.16132782001433846,0,0.22441953933887834,0.015486245883676713,0.011457708963622592,0.23102257357015138,6.653383318591957
140,0.25370370370370376,rectified_fmpe,0.8328859708115073,0.7577771921120824,0.8071478155911067,0.8698143652552461,0.5737365262264615,0.7804100613755147,0.21875143292583474,0.23300350430367198,0.2510937789625599,0.16562346893038418,0.2252849795067229,0.1623034813232568,0,0.23300350430367198,0.015065626737753595,0.00993740813582305,0.2252849795067229,
60,0.007407407407407381,prior_mean,0.9922984767617788,0.9865068047609207,1.0458671965932664,0.9726183228109114,0.964067775708041,0.9634739239314637,0.2847799846430576,0.30191585374486085,0.28077072524682106,0.27830239491104064,0.2781309646695078,0.20559221785727141,1,0.30191585374486085,0.01684624351480926,0.016698143694662437,0.2781309646695078,
