index,theta_alpha,theta_beta,theta_gamma,theta_delta,psi_0,psi_1,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19
0,1.0863409737181056,0.06095595294323512,1.447076824321565,0.04768277490189146,0.9420035346392093,0.17661459460277196,3.7042127375095735,2.690231117264289,3.7339443835049924,3.2165457494468024,3.2772061380259414,3.249449419483031,3.1309154964771704,3.0174240719914214,3.1910058100512075,2.708470463336594,3.4686633775880127,2.530784851440842,3.822410138085188,2.883814174077542,3.6262990170974647,3.207744561758408,3.1754602092984783,3.144521868583362,3.1687309709979368,2.866704443958235
1,1.2613798767504574,0.023524005999064516,0.9881622226443751,0.0510962091246678,0.5707040995664497,0.0791234898309705,1.6714717290420587,4.657137811796654,1.4475076895698495,4.148725856430328,1.4733588322094666,3.5681425293212286,1.744138196798089,3.160709229685167,2.09275220051891,2.682190059247748,2.611795981376502,2.5402871837441823,3.309831475349399,2.4741332293778115,3.7461708598801704,2.81295328500807,4.123712537355819,4.009476506447327,3.588624558727953,5.0468173678152555
2,1.0600996118473105,0.06332378553819853,0.92898011119071,0.05476897825060552,0.08557159945875725,0.6472505733574724,2.8584642007527195,3.56198989720982,2.5415808099071318,3.6416020105405207,2.206427478394452,3.6211247520087917,1.9761570648659172,3.3348312681146406,1.9328430491770734,3.1273736829372805,1.80259410095568,3.06070189016261,1.7864726136882805,2.8249709715879847,1.8256768775739864,2.72015032744102,1.860225299567905,2.6182204476569835,1.9681726509987651,2.431244660690547
3,1.4456475186391513,0.06451840014285072,0.742912734194026,0.035004327309154704,0.8366211259474342,0.7460298393525923,2.470236860891579,3.4851909700805637,2.153006808919975,3.170369826477491,2.3432902389190664,2.8384106710022836,2.673145765626444,2.5712402027806474,3.198551234505858,2.447906652346667,3.7984209551884422,2.7655611114282994,3.7532885581937587,3.4007883972373953,3.1377947595968947,3.635681445803135,2.3943424266410864,3.613729100908731,2.2377192324541424,3.2012256328744555
4,1.3012497122899473,0.05961724023767068,0.9688365967831938,0.04997216270219491,0.1036837768123452,0.4617911643643515,2.160383303912611,2.7130007493310635,2.3264343471385343,2.642449577641592,2.460353524578758,2.430558628951263,2.75657680088922,2.3486895042178877,2.9160580699705863,2.2986840239055484,3.1661532615514987,2.3275577590617007,3.282715776230278,2.4053546678713214,3.5280657515348275,2.4593194024368037,3.689424006334098,2.7235985632053143,3.777593827640584,3.008142716419326
5,1.0724659861381325,0.04578012159891115,0.7556117529710448,0.038622528942667246,0.6339931358076516,0.740000228276203,3.7286114260830634,2.803040236705195,3.808593171196876,3.396702381138718,3.4367565450643274,3.778326042969275,2.80124486029373,3.8318628198792752,2.3134637940610134,3.6435109469319187,1.917285535917323,3.2405592319379175,1.9857027640197353,3.03413685814568,2.1657588137482944,2.676402008542039,2.4795217206581763,2.531251558022997,2.833270032467267,2.3958087543229323
6,1.2636913031354822,0.06225586136841417,1.0259156778342249,0.05457894481106634,0.45818079842130766,0.36954930811988274,3.707739881886311,2.5803846582936454,3.71083402895033,3.070206299468495,3.5228513975405282,3.7019337497244114,2.798642493718533,3.746171266778121,2.23736809866184,3.5676554894966817,2.0960598143137026,3.1981320481946094,1.9547360317597056,2.934194595179982,2.3035195282836964,2.503076416901181,2.494682097567133,2.318060707441324,2.8119276817206953,2.2161818098464683
7,1.4191867509903389,0.07439476028977864,0.5761332901593964,0.05151978533935228,0.002539700989684923,0.2754210303422283,2.4118391951625098,3.999438298182862,2.0279974609909726,3.839010494209843,1.5837148848093845,3.726782044218036,1.450890435489144,3.6214072102846666,1.2861930675965079,3.5772779477729557,1.0283871751458677,3.4654447858253747,0.86444166149019,3.368848767904233,0.8329964617255964,3.168580927269852,0.7165150334756828,3.1774950163037334,0.682841414935134,3.083579700158562
8,1.469932684035129,0.029539457398747693,0.5489543194825366,0.054935233701446984,0.6591550052767345,0.7779365989456207,0.2157325181217773,3.579848892352636,0.12943286399158668,3.2171690540800855,0.45777172411325634,3.034659400500458,0.7246788165089502,2.6600796977006707,1.1201595727396263,2.4687738777500168,1.833315699479395,2.150217215558478,2.401195602435936,2.0352843376577208,3.1750902762560127,2.272853732774999,3.919414058041419,3.076963127001615,3.8089025176433244,4.7711957157723734
9,1.1253763266834211,0.06098882027009883,0.6467988863833329,0.04801749508725181,0.24661955078672693,0.44459160061812586,2.4206359905733144,1.9202510365922698,2.6694835569500155,1.8605201646459608,3.040824374334544,1.9690049169773292,3.1640158040291753,2.058496031502327,3.4483218995166043,2.239169617638265,3.572838280597205,2.6627780426562544,3.6592107136486254,3.017139241339749,3.5800993774173615,3.450918528184921,3.265030320056765,3.7595524533361084,2.5436317205509904,3.8026965108729667
10,1.457593542412114,0.030434370530212473,1.1297542785861672,0.0480667124887869,0.9247229163608478,0.5860908460909556,3.866695237298118,3.1431405600699884,4.162687770780053,4.469625578005865,2.460850007667263,4.609987481255625,1.7384535569532724,4.000609039650711,1.9972355086367073,3.2874133016941225,2.7678886865524053,2.8111697190354574,3.5011477637273014,2.6001902437828894,4.045484849532313,3.6327895068384275,3.3920205687083023,4.815248394632078,2.0292908962101532,4.353828211858599
