coverage_error,coverage_weight,objective,posterior_mean_predictive_rmse,pred0,predictive_weight,prey0,psi0_unit,psi1_unit,range_normalized_rmse,replicate,reward_delta_objective,reward_mode,round,simulations,t_end,t_span,t_start,validation_log_posterior
0.3641666666666667,0.25,-0.4858295833551616,1.0244532623273972,15.0,0.1,40.0,0.951217803728873,0.7965552881727637,0.29234259045575517,0,-0.053729645095137224,rmse_coverage_predictive,1,85,36.52654605378528,22.926791682035205,13.599754371750073,
0.325,0.25,-0.46750980271272075,1.0347776244675992,15.0,0.1,40.0,0.9146774704349688,0.5027648977721,0.2827820402659608,0,0.01831978064244083,rmse_coverage_predictive,2,90,31.11088051672015,22.122904349569314,8.987976167150837,
0.2941666666666667,0.25,-0.44197783195236384,1.0206583824093562,15.0,0.1,40.0,0.010819245864663762,0.8854407594746859,0.26637032704476155,0,0.025531970760356903,rmse_coverage_predictive,3,95,35.67401664100294,2.2380234090226026,33.43599323198034,
0.3358333333333334,0.25,-0.4595416112735719,1.0505452474932013,15.0,0.1,40.0,0.21500261029102796,0.48682128850573336,0.2705287531909184,0,-0.01756377932120806,rmse_coverage_predictive,4,100,22.92657373859305,6.730057426402615,16.196516312190433,
0.4083333333333334,0.25,-0.48543234099633203,0.989159754459849,15.0,0.1,40.0,0.010819245864663762,0.8854407594746859,0.28443303221701377,0,-0.02589072972276013,rmse_coverage_predictive,5,105,35.67401664100294,2.2380234090226026,33.43599323198034,
0.38166666666666665,0.25,-0.47123700829304765,0.9778236228566148,15.0,0.1,40.0,0.9146774704349688,0.5027648977721,0.2780379793407195,0,0.01419533270328438,rmse_coverage_predictive,6,110,31.11088051672015,22.122904349569314,8.987976167150837,
0.34833333333333333,0.25,-0.460343985226324,0.97522329699336,15.0,0.1,40.0,0.9146774704349688,0.5027648977721,0.2757383221936547,0,0.010893023066723628,rmse_coverage_predictive,7,115,31.11088051672015,22.122904349569314,8.987976167150837,
0.38333333333333336,0.25,-0.4742243785928864,0.9766495419661779,15.0,0.1,40.0,0.9642436151376195,0.48349491287087665,0.2807260910629353,0,-0.013880393366562382,rmse_coverage_predictive,8,120,31.329614803001167,23.213359533027628,8.11625526997354,
0.39083333333333337,0.25,-0.47862427604713437,1.0315427369133754,15.0,0.1,40.0,0.9146774704349688,0.5027648977721,0.27776166902246346,0,-0.0043998974542479585,rmse_coverage_predictive,9,125,31.11088051672015,22.122904349569314,8.987976167150837,
0.35166666666666674,0.25,-0.45280798927247357,0.980597612064247,15.0,0.1,40.0,0.9548877083403301,0.6885916546314109,0.2668315613993822,0,0.0258162867746608,rmse_coverage_predictive,10,130,34.70840290386907,23.007529583487262,11.700873320381806,
0.3825,0.25,-0.46605247714923936,0.9840678157716839,15.0,0.1,40.0,0.9548877083403301,0.6885916546314109,0.272020695572071,0,-0.013244487876765798,rmse_coverage_predictive,11,135,34.70840290386907,23.007529583487262,11.700873320381806,
0.41916666666666674,0.25,-0.488165926409424,0.976200928041063,15.0,0.1,40.0,0.3094892900466427,0.9212014730170676,0.2857541669386511,0,-0.02211344926018466,rmse_coverage_predictive,12,140,37.54217657844728,8.80876438102614,28.733412197421146,
0.41416666666666674,0.25,-0.4852119193824429,0.9866237081369095,15.0,0.1,40.0,0.929575865302243,0.4822849510801325,0.28300788190208526,0,0.0029540070269811203,rmse_coverage_predictive,13,145,30.914447261797967,22.450669036649344,8.463778225148625,
0.3766666666666667,0.25,-0.4624608052370715,0.950521869454441,15.0,0.1,40.0,0.2068913042227224,0.5341897230248152,0.27324195162496073,0,0.0227511141453714,rmse_coverage_predictive,14,150,24.419395580865338,6.551608692899893,17.867786887965444,
0.3975,0.25,-0.4740214038004553,0.9811903571033056,15.0,0.1,40.0,0.2068913042227224,0.5341897230248152,0.2765273680901248,0,-0.011560598563383817,rmse_coverage_predictive,15,155,24.419395580865338,6.551608692899893,17.867786887965444,
0.2808333333333334,0.25,-0.4330977337362405,0.972144183961835,15.0,0.1,40.0,0.04515350661889994,0.1572397318250215,0.2656749820067237,0,0.04092367006421482,rmse_coverage_predictive,16,160,8.812288598988882,2.9933771456157987,5.818911453373084,
0.32833333333333337,0.25,-0.45401307923318696,1.0090717758073486,15.0,0.1,40.0,0.04515350661889994,0.1572397318250215,0.27102256831911875,0,-0.020915345496946458,rmse_coverage_predictive,17,165,8.812288598988882,2.9933771456157987,5.818911453373084,
0.36083333333333334,0.25,-0.46956121636674397,0.9909347549185497,15.0,0.1,40.0,0.9914517881149844,0.8456179021236516,0.28025940754155565,0,-0.015548137133557016,rmse_coverage_predictive,18,170,37.50085323453262,23.811939338529655,13.688913896002965,
0.395,0.25,-0.475831012070509,0.9636426735391627,15.0,0.1,40.0,0.7485298302996949,0.9890381736846939,0.2807167447165927,0,-0.006269795703765013,rmse_coverage_predictive,19,175,39.76396618783293,18.467656266593288,21.29630992123964,
0.38999999999999996,0.25,-0.47551867722857966,0.9834694840178991,15.0,0.1,40.0,0.04515350661889994,0.1572397318250215,0.27967172882678976,0,0.00031233484192932925,rmse_coverage_predictive,20,180,8.812288598988882,2.9933771456157987,5.818911453373084,
0.31333333333333335,0.25,-0.44106564531031167,1.054581689491856,15.0,0.1,40.0,0.30861647300998796,0.9750250317218301,0.2572741430277927,0,0.034453031918267985,rmse_coverage_predictive,21,185,39.22052031114753,8.789562406219735,30.430957904927798,
0.3875,0.25,-0.47326898299602166,1.0375518028662931,15.0,0.1,40.0,0.30861647300998796,0.9750250317218301,0.27263880270939234,0,-0.03220333768570999,rmse_coverage_predictive,22,190,39.22052031114753,8.789562406219735,30.430957904927798,
0.3775,0.25,-0.4491488139843142,1.01812821609036,15.0,0.1,40.0,0.4733312668603983,0.8411515443365982,0.25296099237527825,0,0.024120169011707437,rmse_coverage_predictive,23,195,35.6178933814662,12.413287870928762,23.204605510537437,
0.395,0.25,-0.4676082380564354,0.9807258658079514,15.0,0.1,40.0,0.4733312668603983,0.8411515443365982,0.27078565147564027,0,-0.0184594240721212,rmse_coverage_predictive,24,200,35.6178933814662,12.413287870928762,23.204605510537437,
