batch,bo_random_fraction,budget,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,pred0,predictive_weight,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,structured_label,structured_policy,t_end,t_span,t_start,target_mode,target_psi_unit,target_seed,target_theta,validation
5,0.2,180,0.43500000000000005,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_early,10,0.06,8,1.0342028021131808,-0.49937941022826154,32,15.0,0.1,40.0,0.9949216111740031,1.1160066947630485,0.9227377518627401,0.8266533942991776,1.114288603771046,0.0,0.0,0.2872091300169434,0.32216338281943535,0.26637144471469154,0.23863427986257402,0.32166741267107285,0.22788133416433543,0,rmse_coverage_predictive,0.32216338281943535,0.015982286682881493,0.01431805679175444,0.32166741267107285,20,20,717,180,short early,short_early,2.0,2.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.38833333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_late,10,0.06,8,1.0360622865611138,-0.4771959415240963,32,15.0,0.1,40.0,0.9578461959418791,0.9934537063363837,0.8623730406028414,0.8669808244666355,1.1085772123616562,0.0,1.0,0.2765063795346515,0.2867853823903713,0.24894565356696327,0.25027580619402784,0.3200186759872436,0.21511997317588002,0,rmse_coverage_predictive,0.2867853823903713,0.014936739214017796,0.01501654837164167,0.3200186759872436,20,20,717,180,short late,short_late,40.0,2.0,38.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.3966666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_early,10,0.06,8,1.0591849995798803,-0.46141551029258304,32,15.0,0.1,40.0,0.8879543575088862,0.9802845552740448,0.886846125432191,0.7183788482163478,0.966307901112961,1.0,0.0,0.25633034366792834,0.2829837759349512,0.25601042462402607,0.20737811069892087,0.2789490634138152,0.1989240851982076,0,rmse_coverage_predictive,0.2829837759349512,0.015360625477441563,0.012442686641935251,0.2789490634138152,20,20,717,180,long early,long_early,24.0,24.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.4208333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_late,10,0.06,8,1.0238721848979775,-0.4817265933918296,32,15.0,0.1,40.0,0.9496177838575232,0.9554103308100619,0.8941826889184351,0.8343420612876425,1.1145360544139533,1.0,1.0,0.2741310415686985,0.27580320583986934,0.25812830807588094,0.24085380684032384,0.32173884551871973,0.2121508896246882,0,rmse_coverage_predictive,0.27580320583986934,0.015487698484552857,0.01445122841041943,0.32173884551871973,20,20,717,180,long late,long_late,40.0,24.0,16.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.36500000000000005,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.951072943450433,-0.4478920815967834,32,15.0,0.1,40.0,0.9059830789334616,0.9391501872887602,0.8881580271298579,0.8201905022016552,0.9764335991135734,0.5,0.5,0.26153478725174006,0.2711093067203266,0.25638913802317526,0.23676860361645002,0.2818721006470084,0.19582555914375077,0,rmse_coverage_predictive,0.2711093067203266,0.015383348281390513,0.014206116216987,0.2818721006470084,20,20,717,180,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.3566666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_early,10,0.06,8,0.9353658086152934,-0.47682987180278935,32,15.0,0.1,40.0,1.018884514204634,0.9883132934220117,0.9895914048379354,0.9389668212963561,1.1586665372622333,0.0,0.0,0.29412662427459335,0.28530147300044206,0.285670431985461,0.2710563735177892,0.334478218594681,0.22013115077295428,1,rmse_coverage_predictive,0.28530147300044206,0.017140225919127658,0.016263382411067354,0.334478218594681,20,20,10717,180,short early,short_early,2.0,2.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.3466666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_late,10,0.06,8,0.9045387019064632,-0.44326446549683113,32,15.0,0.1,40.0,0.9219496130592619,0.9334141386503261,1.018894587665317,0.7512442436101674,0.9842454823112374,0.0,1.0,0.26614392863951813,0.26945345210758426,0.2941295322322118,0.21686553313774348,0.284127197080533,0.1960957554371292,1,rmse_coverage_predictive,0.26945345210758426,0.017647771933932705,0.013011931988264608,0.284127197080533,20,20,10717,180,short late,short_late,40.0,2.0,38.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.37833333333333335,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_early,10,0.06,8,0.9560914686325008,-0.45816207045775614,32,15.0,0.1,40.0,0.9282738904315303,0.9910200039534338,1.0138059072770202,0.7325237942358113,0.9757458562598559,1.0,0.0,0.2679695902611727,0.28608283302740956,0.2926605567362102,0.21146140489492585,0.2816735663861449,0.20103028590967584,1,rmse_coverage_predictive,0.28608283302740956,0.017559633404172614,0.01268768429369555,0.2816735663861449,20,20,10717,180,long early,long_early,24.0,24.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.3758333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_late,10,0.06,8,0.9034094119720798,-0.4410936540476885,32,15.0,0.1,40.0,0.8895618248436472,0.9449126328629466,1.0029346478398542,0.732344369005109,0.878055649666679,1.0,1.0,0.25679437951714723,0.27277278147205014,0.2895222944549712,0.21140960929230318,0.2534728328492645,0.18649137323172976,1,rmse_coverage_predictive,0.27277278147205014,0.01737133766729827,0.01268457655753819,0.2534728328492645,20,20,10717,180,long late,long_late,40.0,24.0,16.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.3558333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.8945402903093197,-0.4326374681847318,32,15.0,0.1,40.0,0.8806615996812445,0.8517843073466221,0.9696836290476418,0.7432337733423707,0.9579446889883432,0.5,0.5,0.2542251058204665,0.24588894956903565,0.27992355212971465,0.21455310955501955,0.27653481202809616,0.1853245009559328,1,rmse_coverage_predictive,0.24588894956903565,0.016795413127782877,0.012873186573301172,0.27653481202809616,20,20,10717,180,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
