batch,batch_theta_mode,budget,coverage_error,design_space,estimator,initial,initial_design_mode,method,posterior_mean_predictive_rmse,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_abs_neg_coverage_error,reward_abs_neg_predictive_rmse,reward_abs_neg_prior_std_rmse,reward_abs_neg_range_rmse,reward_abs_neg_range_rmse_alpha,reward_abs_neg_range_rmse_beta,reward_abs_neg_range_rmse_delta,reward_abs_neg_range_rmse_gamma,reward_abs_neg_raw_rmse,reward_abs_rmse_coverage,reward_abs_rmse_coverage_predictive,reward_abs_rmse_predictive,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,role,seed,simulations,target_mode,validation
14,paired,80,0.21333333333333335,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,0.971737671192831,0.8997379798733227,0.8469526681459707,0.9598555218039533,0.8312364374799684,0.9609072920633986,0.2597319824399965,0.244494175472474,0.27708642194833055,0.23995729046964268,0.2773900418695388,0.18520685743221618,0,-0.21333333333333335,-0.971737671192831,-0.8997379798733227,-0.2597319824399965,-0.244494175472474,-0.27708642194833055,-0.23995729046964268,-0.2773900418695388,-0.18520685743221618,-0.31306531577332986,-0.41023908289261296,-0.3569057495592796,0.244494175472474,0.016625185316899833,0.01439743742817856,0.2773900418695388,base_initial,717,80,validation_set,100
14,paired,80,0.275,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,0.9093262406882711,0.8348616835616507,0.8425775401589303,0.7590800238775235,0.8903482630869631,0.8474409071231855,0.2410038088702116,0.24323118481194558,0.21912752806107788,0.257021404682887,0.24463511792493595,0.17278485678788502,1,-0.275,-0.9093262406882711,-0.8348616835616507,-0.2410038088702116,-0.24323118481194558,-0.21912752806107788,-0.257021404682887,-0.24463511792493595,-0.17278485678788502,-0.30975380887021164,-0.4006864329390387,-0.33193643293903874,0.24323118481194558,0.013147651683664672,0.015421284280973217,0.24463511792493595,base_initial,10717,80,validation_set,100
14,paired,80,0.3016666666666667,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,1.0365358697859035,0.987452644219241,0.8518488022873661,1.0122209765814485,0.9723471985649105,1.113393599443239,0.28505302497599333,0.2459075676547356,0.2922030266543426,0.2806924584186148,0.3214090471762802,0.2027099667940807,2,-0.3016666666666667,-1.0365358697859035,-0.987452644219241,-0.28505302497599333,-0.2459075676547356,-0.2922030266543426,-0.2806924584186148,-0.3214090471762802,-0.2027099667940807,-0.36046969164266,-0.46412327862125036,-0.38870661195458367,0.2459075676547356,0.017532181599260555,0.016841547505116888,0.3214090471762802,base_initial,20717,80,validation_set,100
