coverage_error,coverage_weight,objective,posterior_mean_predictive_rmse,pred0,predictive_weight,prey0,psi0_unit,psi1_unit,range_normalized_rmse,replicate,reward_delta_objective,reward_mode,round,simulations,t_end,t_span,t_start,validation_log_posterior
0.09999999999999998,0.25,-0.11311348281382021,0.18859049797136132,15.0,0.1,40.0,0.951217803728873,0.7965552881727637,0.06925443301668407,0,0.09877147582915576,rmse_coverage_predictive,1,85,36.52654605378528,22.926791682035205,13.599754371750073,
0.23333333333333336,0.25,-0.28251391973476153,0.9897039296949321,15.0,0.1,40.0,0.9146774704349688,0.5027648977721,0.12521019343193496,0,-0.1694004369209413,rmse_coverage_predictive,2,90,31.11088051672015,22.122904349569314,8.987976167150837,
0.15000000000000002,0.25,-0.19740981291301238,0.7758700286683914,15.0,0.1,40.0,0.010819245864663762,0.8854407594746859,0.08232281004617323,0,0.08510410682174915,rmse_coverage_predictive,3,95,35.67401664100294,2.2380234090226026,33.43599323198034,
0.18333333333333332,0.25,-0.2746597642905263,1.013601292101232,15.0,0.1,40.0,0.21500261029102796,0.48682128850573336,0.12746630174706972,0,-0.07724995137751392,rmse_coverage_predictive,4,100,22.92657373859305,6.730057426402615,16.196516312190433,
0.3,0.25,-0.26494786894305355,0.8592733784189646,15.0,0.1,40.0,0.951217803728873,0.7965552881727637,0.10402053110115711,0,0.009711895347472743,rmse_coverage_predictive,5,105,36.52654605378528,22.926791682035205,13.599754371750073,
0.21666666666666667,0.25,-0.2686703787929987,0.9774431122465332,15.0,0.1,40.0,0.9506878938486341,0.9847458503566497,0.11675940090167874,0,-0.0037225098499451548,rmse_coverage_predictive,6,110,39.739384892284235,22.91513366466995,16.82425122761429,
0.18333333333333332,0.25,-0.24059490121687188,1.0400904287186266,15.0,0.1,40.0,0.010819245864663762,0.8854407594746859,0.09075252501167588,0,0.028075477576126828,rmse_coverage_predictive,7,115,35.67401664100294,2.2380234090226026,33.43599323198034,
0.26666666666666666,0.25,-0.1518859094565211,0.4513685930505802,15.0,0.1,40.0,0.6337588816209927,0.7074869585303616,0.040082383484796424,0,0.08870899176035077,rmse_coverage_predictive,8,120,32.96292466062351,15.94269539566184,17.020229264961667,
0.15000000000000002,0.25,-0.19195668116275186,0.4664024056214553,15.0,0.1,40.0,0.6337588816209927,0.7074869585303616,0.10781644060060633,0,-0.040070771706230746,rmse_coverage_predictive,9,125,32.96292466062351,15.94269539566184,17.020229264961667,
0.26666666666666666,0.25,-0.11669263081731468,0.1622800577483991,15.0,0.1,40.0,0.9548877083403301,0.6885916546314109,0.0337979583758081,0,0.07526405034543718,rmse_coverage_predictive,10,130,34.70840290386907,23.007529583487262,11.700873320381806,
0.18333333333333332,0.25,-0.23008109079865458,1.016690663417045,15.0,0.1,40.0,0.9548877083403301,0.6885916546314109,0.08257869112361674,0,-0.1133884599813399,rmse_coverage_predictive,11,135,34.70840290386907,23.007529583487262,11.700873320381806,
0.18333333333333332,0.25,-0.1877585327711036,0.7971156325699876,15.0,0.1,40.0,0.010819245864663762,0.8854407594746859,0.06221363618077151,0,0.04232255802755097,rmse_coverage_predictive,12,140,35.67401664100294,2.2380234090226026,33.43599323198034,
0.26666666666666666,0.25,-0.19536390183118169,0.7910543798883763,15.0,0.1,40.0,0.929575865302243,0.4822849510801325,0.04959179717567737,0,-0.007605369060078082,rmse_coverage_predictive,13,145,30.914447261797967,22.450669036649344,8.463778225148625,
0.26666666666666666,0.25,-0.20219007929564745,0.8549461751444833,15.0,0.1,40.0,0.951217803728873,0.7965552881727637,0.05002879511453243,0,-0.00682617746446576,rmse_coverage_predictive,14,150,36.52654605378528,22.926791682035205,13.599754371750073,
0.26666666666666666,0.25,-0.0887386092071985,0.08236463647480097,15.0,0.1,40.0,0.010819245864663762,0.8854407594746859,0.013835478893051749,0,0.11345147008844894,rmse_coverage_predictive,15,155,35.67401664100294,2.2380234090226026,33.43599323198034,
0.26666666666666666,0.25,-0.14684085974860683,0.4657469811747594,15.0,0.1,40.0,0.010819245864663762,0.8854407594746859,0.03359949496446423,0,-0.05810225054140833,rmse_coverage_predictive,16,160,35.67401664100294,2.2380234090226026,33.43599323198034,
