method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
random,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
fixed_dumb,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
bo,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
bo_marginal_random,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
random,28,15.0,0.0,40.0,0.0,1,28.43600747889253,7.771442530769224,13.541721817342422,6.154069664342838,14.894285661550112,9.272533314197883
fixed_dumb,28,15.0,0.0,40.0,0.0,1,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,1,28.022154653965725,7.980777548426987,15.996603715211696,7.0137272394022245,12.025550938754028,2.3640937692507387
bo_marginal_random,28,15.0,0.0,40.0,0.0,1,29.89597626237474,9.59246502580721,11.58606649668263,6.019606381172844,18.309909765692108,9.447443549189378
random,28,15.0,0.0,40.0,0.0,2,27.443922073020453,7.583242771682936,13.526302187576245,6.123018378299889,13.917619885444209,8.756329507261846
fixed_dumb,28,15.0,0.0,40.0,0.0,2,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,2,25.88970507197471,5.569335920028843,15.273800999459786,6.824398848890543,10.61590407251492,1.7106518888023556
bo_marginal_random,28,15.0,0.0,40.0,0.0,2,29.036844096828897,8.554719848554901,13.631977711513988,6.441390425326611,15.404866385314907,8.465399295589872
random,28,15.0,0.0,40.0,0.0,3,26.859820500314544,8.271589737338875,13.46881205534352,6.7628463112449015,13.391008444971026,8.696571117636386
fixed_dumb,28,15.0,0.0,40.0,0.0,3,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,3,27.43841054727709,8.854213858802094,5.933335001512581,4.334140857116384,21.505075545764516,11.307783703097911
bo_marginal_random,28,15.0,0.0,40.0,0.0,3,28.80665180771222,8.895661968231046,12.91205872655708,6.197565314849446,15.89459308115514,8.662366625157144
random,28,15.0,0.0,40.0,0.0,4,27.682929109255277,7.641316955319844,13.422016231499445,5.540974032819842,14.260912877755832,7.34758582432904
fixed_dumb,28,15.0,0.0,40.0,0.0,4,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,4,22.453004933172195,3.333855585450259,7.829064963610963,1.6175989960428814,14.623939969561237,3.803101286365287
bo_marginal_random,28,15.0,0.0,40.0,0.0,4,29.539263666739743,8.972935892393044,10.089143440097558,5.646137458384045,19.45012022664218,9.52790675502381
random,28,15.0,0.0,40.0,0.0,5,26.735141000887644,8.123387924243493,12.878256348722834,6.577930570697196,13.856884652164814,7.903896287193728
fixed_dumb,28,15.0,0.0,40.0,0.0,5,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,5,30.401013186180126,8.135010628178424,14.983616270439015,8.440757254268233,15.417396915741106,1.4192211101491687
bo_marginal_random,28,15.0,0.0,40.0,0.0,5,28.818734412308327,9.664009984384208,11.683576192243128,5.651574424885357,17.135158220065197,10.095649933129799
random,28,15.0,0.0,40.0,0.0,6,26.139119013746974,8.732687281565939,12.61247190447982,5.850799208244665,13.526647109267154,9.019417231129228
fixed_dumb,28,15.0,0.0,40.0,0.0,6,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,6,30.95140467439209,7.950999503713094,14.05406605551077,9.984887290690823,16.89733861888132,2.3480880120684793
bo_marginal_random,28,15.0,0.0,40.0,0.0,6,25.29811710529334,9.539567989021558,12.076511687713245,5.992132575617155,13.221605417580097,8.816756472216385
