coverage_error,method,posterior_mean_rmse,replicate,round,simulations
0.3791666666666667,random_fmpe,0.1803936671500643,0,0,80
0.38819444444444445,random_fmpe,0.18370065148994894,0,1,92
0.3659722222222222,random_fmpe,0.18630823050277082,0,2,104
0.37222222222222223,random_fmpe,0.17985934148184443,0,3,116
0.3361111111111111,random_fmpe,0.18033408155296793,0,4,128
0.3736111111111111,random_fmpe,0.17628676764546986,0,5,140
0.34652777777777777,bo_fmpe,0.1964915612063244,0,0,80
0.39305555555555555,bo_fmpe,0.19107252100041416,0,1,92
0.4000000000000001,bo_fmpe,0.18362316064851497,0,2,104
0.4361111111111111,bo_fmpe,0.19736447176428187,0,3,116
0.34861111111111115,bo_fmpe,0.18761284369839,0,4,128
0.41111111111111115,bo_fmpe,0.18045688449454098,0,5,140
0.39375000000000004,random_fmpe,0.19143854125016455,1,0,80
0.37152777777777773,random_fmpe,0.18388966376174867,1,1,92
0.4076388888888889,random_fmpe,0.19175218515309328,1,2,104
0.41597222222222224,random_fmpe,0.18980665160825405,1,3,116
0.4166666666666667,random_fmpe,0.1821255510795875,1,4,128
0.39375000000000004,random_fmpe,0.18098477113752576,1,5,140
0.4354166666666666,bo_fmpe,0.20834895466492828,1,0,80
0.3909722222222223,bo_fmpe,0.20248083689837823,1,1,92
0.41597222222222224,bo_fmpe,0.19893939581860892,1,2,104
0.37152777777777785,bo_fmpe,0.18697575091507668,1,3,116
0.36944444444444446,bo_fmpe,0.19292036473961133,1,4,128
0.4131944444444444,bo_fmpe,0.1991045570437876,1,5,140
0.33819444444444446,random_fmpe,0.19242538546926813,2,0,80
0.3875,random_fmpe,0.19422370633547087,2,1,92
0.3868055555555556,random_fmpe,0.19264203751952672,2,2,104
0.32430555555555557,random_fmpe,0.17241828358616912,2,3,116
0.39236111111111116,random_fmpe,0.19821632005488124,2,4,128
0.3458333333333334,random_fmpe,0.180251525905176,2,5,140
0.37152777777777785,bo_fmpe,0.1745564345019786,2,0,80
0.3090277777777778,bo_fmpe,0.18413966151471095,2,1,92
0.30069444444444443,bo_fmpe,0.19222229680227837,2,2,104
0.3284722222222222,bo_fmpe,0.1679039906280535,2,3,116
0.3104166666666667,bo_fmpe,0.17260712572275963,2,4,128
0.29375,bo_fmpe,0.16372833119618196,2,5,140
