pred0,prey0,psi0_unit,psi1_unit,psi2_unit,psi3_unit,replicate,reward_delta_negative_rmse,round,t_span,t_start
12.69528873407897,50.8614292191835,0.7715357304795875,0.3078115493631588,0.7069792853053519,0.9545300729894423,0,0.005419040205910247,1,12.483751423664224,7.17448530217658
26.858047695254687,42.092025964098035,0.5523006491024509,0.8743219078101875,0.11792181916140387,0.8099429835453363,0,0.0074493603518991924,2,5.415061829936846,11.81296833628521
21.441593187077153,50.845743963102024,0.7711435990775507,0.6576637274830861,0.9969088393842581,0.14165989521729105,0,-0.013741311115766902,3,15.962906072611098,0.571894302736274
5.267074865769645,57.0017973407612,0.9250449335190299,0.010682994630785814,0.07851453974605782,0.01271339005270744,0,0.00975162806589186,4,4.942174476952694,0.19143600922011383
21.43771356306788,20.648687833546923,0.016217195838673093,0.6575085425227152,0.49981188685765887,0.8392860523743241,0,0.007155959203849038,5,9.997742642291907,8.394755092582862
7.942006826835591,48.4341888147878,0.7108547203696951,0.11768027307342366,0.4212758405845016,0.05168469279794574,1,0.005868117766550052,1,9.05531008701402,0.565672935921456
8.456189888942538,32.6923032546957,0.31730758136739246,0.1382475955577015,0.01657871493344154,0.9457247195384201,1,0.0035414410797693086,2,4.1989445792012985,14.943448706245883
16.07626717138173,38.7627926415617,0.4690698160390425,0.44305068685526916,0.6946770391138083,0.34589754776080806,1,0.011963644903532245,3,12.3361244693657,2.650915752390466
24.71358270094336,30.077425461012997,0.2519356365253249,0.7885433080377344,0.34909582749461276,0.2137022849683644,1,-0.00594461382453465,4,8.189149929935354,2.5240056473915815
14.364026114444815,39.84383163469568,0.4960957908673921,0.3745610445777926,0.6607038352409602,0.022655949069166792,1,-0.0061841923041762725,5,11.928446022891523,0.18286871581440034
11.51241221368386,29.281977928721595,0.23204944821803986,0.2604964885473544,0.19218541501824737,0.32997126434768653,2,-0.009583227012732343,1,6.3062249802189685,4.5185522569699135
18.91971689735758,52.324414239877306,0.8081103559969327,0.5567886758943033,0.6657537455877465,0.21012918618260568,2,-0.008082635287567419,2,11.989044947052957,1.683335465821195
14.170495869738021,57.08628538686814,0.9271571346717035,0.36681983478952085,0.16155223112739037,0.39875554105623345,2,0.02431830617422487,3,5.938626773528684,5.607050488915204
5.917648712754832,58.643432087841106,0.9660858021960277,0.036705948510193265,0.5346171988184473,0.6493395524985173,2,-0.004703135094706129,4,10.415406385821367,6.2236557283108995
11.77745266989466,56.79186529564302,0.9197966323910756,0.2710981067957864,0.047092300620592664,0.6355468921794875,2,0.008878794526577666,5,4.565107607447112,9.809597891211801
