feature,brier_score,log_score,observed_prevalence,mean_predicted_probability
smoke,0.222362,0.6355975114889435,0.36,0.39849999999999997
drink,0.24525875000000003,0.6837128469228623,0.48,0.49985
hypertension,0.18061275000000002,0.5387187617038987,0.32,0.28255
dyslipidemia,0.14864275,0.46712317646072776,0.19,0.15495
diabetes,0.102104,0.3586269124332296,0.12,0.0858
cancer,0.028844999999999996,0.12591317654273587,0.03,0.031100000000000003
cvd,0.14836449999999998,0.4762517095809744,0.18,0.1297
arthritis,0.23648525000000004,0.6644136578542831,0.41,0.36555
