loss,mean/inference_mean,quantiles/inference_quantiles,val_loss,val_mean/inference_mean,val_quantiles/inference_quantiles
0.20631301403045654,0.2807930111885071,0.1318330317735672,0.2104838341474533,0.2958109676837921,0.1251567006111145
0.17655886709690094,0.24171082675457,0.11140690743923187,0.16898366808891296,0.23210474848747253,0.10586260259151459
0.16492080688476562,0.2205045521259308,0.10933706164360046,0.16140154004096985,0.21600894629955292,0.10679414123296738
0.1611132025718689,0.21826812624931335,0.10395829379558563,0.1435113251209259,0.1872217208147049,0.09980093687772751
0.1911746859550476,0.26439759135246277,0.11795176565647125,0.14703479409217834,0.19502228498458862,0.09904731065034866
0.17950069904327393,0.2440531998872757,0.11494821310043335,0.14452806115150452,0.1894226372241974,0.09963348507881165
0.151039719581604,0.20469382405281067,0.09738562256097794,0.1610749363899231,0.21955077350139618,0.10259910672903061
0.18013478815555573,0.24214118719100952,0.11812838912010193,0.15881302952766418,0.2134246677160263,0.10420140624046326
0.15087953209877014,0.20020204782485962,0.10155700147151947,0.15690910816192627,0.20803450047969818,0.10578373074531555
0.1503170281648636,0.19948101043701172,0.10115304589271545,0.14250357449054718,0.18782579898834229,0.09718134999275208
0.14812645316123962,0.19562001526355743,0.10063290596008301,0.17833594977855682,0.24760064482688904,0.10907125473022461
0.15872181951999664,0.21002790331840515,0.10741574317216873,0.19317613542079926,0.26813066005706787,0.11822161823511124
0.15446701645851135,0.2079813927412033,0.1009526252746582,0.154821515083313,0.20564021170139313,0.10400281846523285
0.1377699375152588,0.1782667487859726,0.09727314114570618,0.1736772358417511,0.23651021718978882,0.11084426939487457
0.16146624088287354,0.2145620882511139,0.10837040096521378,0.15155404806137085,0.2009836733341217,0.10212443768978119
0.1343449354171753,0.17465312778949738,0.0940367579460144,0.18271443247795105,0.25018805265426636,0.11524081230163574
0.15438726544380188,0.20528191328048706,0.1034926027059555,0.1285075545310974,0.16418874263763428,0.09282635152339935
0.15181638300418854,0.20010828971862793,0.10352446883916855,0.1625603884458542,0.22108237445354462,0.10403839498758316
0.14609113335609436,0.1936500370502472,0.09853224456310272,0.15349960327148438,0.2057061493396759,0.10129307210445404
0.1398518979549408,0.18415449559688568,0.09554930031299591,0.13906854391098022,0.18065714836120605,0.0974799245595932
0.13484540581703186,0.17240646481513977,0.09728434681892395,0.145734965801239,0.1921515315771103,0.09931838512420654
0.1729174107313156,0.23464438319206238,0.11119044572114944,0.1473882496356964,0.1941484659910202,0.10062804818153381
0.14120152592658997,0.18326571583747864,0.0991373360157013,0.14182759821414948,0.18490003049373627,0.09875517338514328
0.14380188286304474,0.18783272802829742,0.09977104514837265,0.17524990439414978,0.23954343795776367,0.11095637828111649
0.1392582207918167,0.18073396384716034,0.09778248518705368,0.1529710292816162,0.2028769552707672,0.1030651181936264
0.12852659821510315,0.1640012115240097,0.0930519849061966,0.14682424068450928,0.19397136569023132,0.09967712312936783
0.16166096925735474,0.21747370064258575,0.10584823787212372,0.13407272100448608,0.17334958910942078,0.09479586035013199
0.13224655389785767,0.1697515994310379,0.09474152326583862,0.15758144855499268,0.21116068959236145,0.1040022075176239
0.15753775835037231,0.2101115733385086,0.10496395826339722,0.1548805683851242,0.20652244985103607,0.10323868691921234
0.14510098099708557,0.1898200809955597,0.10038188099861145,0.15843842923641205,0.21180659532546997,0.10507026314735413
0.1591930091381073,0.21297992765903473,0.10540608316659927,0.1521839201450348,0.20215439796447754,0.10221344232559204
0.13611344993114471,0.17644956707954407,0.09577733278274536,0.1540476679801941,0.2049638032913208,0.10313154011964798
0.12710800766944885,0.16086189448833466,0.09335410594940186,0.15009474754333496,0.19896666705608368,0.10122281312942505
0.1454879641532898,0.19191011786460876,0.09906581789255142,0.15689343214035034,0.20938009023666382,0.10440677404403687
0.1372050791978836,0.17781051993370056,0.09659964591264725,0.13178758323192596,0.16863377392292023,0.0949413925409317
0.12310317158699036,0.1554904580116272,0.09071588516235352,0.15332862734794617,0.20481489598751068,0.10184235870838165
0.14563140273094177,0.19273741543293,0.09852537512779236,0.16549775004386902,0.22468207776546478,0.10631342977285385
0.1396956592798233,0.1803353726863861,0.0990559384226799,0.1737113893032074,0.2356385737657547,0.1117842048406601
0.11905878782272339,0.14793001115322113,0.09018755704164505,0.14521676301956177,0.1915186643600464,0.09891486912965775
0.13495758175849915,0.1759333461523056,0.09398182481527328,0.12605077028274536,0.16107714176177979,0.09102440625429153
