,Biological Age
sbp.mean,0.41630863182361677
creatinine_mg.d L,0.3390099051416116
bun_mg.d L,0.3082630642228258
crp_mg.L,0.20876722230814992
Hb A1c,0.13950540936953362
plt_10.9.L,-0.135807187852104
BMI,-0.08967924565529654
BMI_New,-0.07746951488628911
TC_mg.d L,0.0680393718526123
TG_mg.d L,-0.038289824599981946
