coverage_error_mean,coverage_error_std,method,posterior_mean_predictive_rmse_mean,posterior_mean_predictive_rmse_std,posterior_quality_objective_mean,posterior_quality_objective_std,prior_std_normalized_rmse_mean,prior_std_normalized_rmse_std,range_normalized_rmse_mean,range_normalized_rmse_std,raw_rmse_mean,raw_rmse_std,replicates,round,simulations_mean
0.2441666666666667,0.030833333333333338,random,0.9405319559405511,0.031205715252279997,-0.40546275791582587,0.004776324976787094,0.8672998317174867,0.03243814815583601,0.2503678956551041,0.00936408678489245,0.17899585711005062,0.006211000322165581,2,0,80.0
0.2441666666666667,0.030833333333333338,fixed_dumb,0.9405319559405511,0.031205715252279997,-0.40546275791582587,0.004776324976787094,0.8672998317174867,0.03243814815583601,0.2503678956551041,0.00936408678489245,0.17899585711005062,0.006211000322165581,2,0,80.0
0.2441666666666667,0.030833333333333338,bo,0.9405319559405511,0.031205715252279997,-0.40546275791582587,0.004776324976787094,0.8672998317174867,0.03243814815583601,0.2503678956551041,0.00936408678489245,0.17899585711005062,0.006211000322165581,2,0,80.0
0.2441666666666667,0.030833333333333338,bo_marginal_random,0.9405319559405511,0.031205715252279997,-0.40546275791582587,0.004776324976787094,0.8672998317174867,0.03243814815583601,0.2503678956551041,0.00936408678489245,0.17899585711005062,0.006211000322165581,2,0,80.0
0.3429166666666667,0.01958333333333334,random,1.0018554481012676,0.03673206661127221,-0.4799880827357931,0.012003948603815262,1.018700040347305,0.04581820077640669,0.29407337125899957,0.013226575276021363,0.2031864740759215,0.0016459488646575343,2,1,94.0
0.3220833333333334,0.0012500000000000011,fixed_dumb,1.0006220314493002,0.05304941314448364,-0.467331430428798,0.023266693985885628,0.9933255746222039,0.061138804685100134,0.2867483939505346,0.017649252671437243,0.2064109266080436,0.004377312046439666,2,1,94.0
0.2929166666666667,0.02291666666666667,bo,0.9837590712947195,0.04405528163493272,-0.4494675207905311,0.014214830479842289,0.9625437514194035,0.05382683550083267,0.27786244699439244,0.015538468983015696,0.1997203392996375,0.000486501387411839,2,1,94.0
0.3816666666666667,0.03083333333333335,bo_marginal_random,1.0329286366428259,0.03695920119660451,-0.48822021265892446,0.027509191629544016,1.0028944222519722,0.055789142349081444,0.2895106823279752,0.016104938176550232,0.2053616044444524,0.0034396747187143834,2,1,94.0
0.32375,0.024583333333333318,random,1.0186033419006848,0.1125191392052462,-0.4743833523736323,0.02599361808219075,1.0100818644904623,0.02977697001994306,0.2915855181835638,0.008595870828332797,0.21297852125513228,0.003370642521787384,2,2,108.0
0.3370833333333334,0.013750000000000012,fixed_dumb,0.9914133093278148,0.07197571051905366,-0.4734392596471402,0.023049797387649146,1.0046833295431215,0.04300587355114316,0.29002709538102533,0.012414726335743783,0.21624986671928897,0.004874277543494301,2,2,108.0
0.3291666666666667,0.05000000000000002,bo,0.993324596788872,0.027094393157777896,-0.4730086207581803,0.023110936101868124,1.009385497720877,0.02737158777870141,0.2913844944126264,0.007901496786090367,0.2098057712869071,0.0038050724110198497,2,2,108.0
0.32583333333333336,0.03416666666666668,bo_marginal_random,0.9670604511388694,0.03310802666060608,-0.4597329844553102,0.02863656051477398,0.9753822628447102,0.058141797372347315,0.28156860600808986,0.016784091182046684,0.2015143020056444,0.016654344234211457,2,2,108.0
0.3795833333333334,0.005416666666666653,random,0.9826047183814907,0.05353848353196644,-0.48440793359548784,0.024706647693316985,1.0089252364350982,0.07173103438871342,0.2912516284240054,0.02070696600678698,0.20632471928912213,0.003996471569578275,2,3,122.0
0.42000000000000004,0.003333333333333327,fixed_dumb,1.0863103191615249,0.022848636080116336,-0.53158043296611,0.019538529171774954,1.1014090337092397,0.056881699400531005,0.3179494010499576,0.016420332230429963,0.23871832505679708,0.008529461651389167,2,3,122.0
0.3583333333333334,0.006666666666666626,bo,1.0217713766804268,0.03482891633118507,-0.4724790190435715,0.025656116515860444,0.9724375756720947,0.07103680143722269,0.2807185480421955,0.020506558216075277,0.20126600777406195,0.0009120658662671033,2,3,122.0
0.37083333333333335,0.013333333333333364,bo_marginal_random,1.0090819936937447,0.050850640516618584,-0.48313120125966663,0.03210493756632454,1.0029082309542328,0.08205258209916821,0.28951466855695884,0.02368654018132932,0.21379583479070324,0.009646453787956491,2,3,122.0
0.35083333333333333,0.015833333333333338,random,1.5330111138976503,0.38200216395003683,-0.5339288923871245,0.03821064262550458,1.0147027317582116,0.013748186415171504,0.2929194476640261,0.003968759563834218,0.21856460850402967,0.003815845194300199,2,4,136.0
0.4108333333333334,0.008333333333333331,fixed_dumb,1.0481770248305167,0.013221698257904979,-0.5349233418893882,0.018644013918397706,1.1341375367592397,0.06722150646323533,0.3273973060730031,0.01940517742594053,0.24925145234435117,0.004204475879707875,2,4,136.0
0.34791666666666665,0.02708333333333332,bo,1.0358536659034525,0.09093157860902273,-0.4977174597331435,0.04625540704913797,1.0640089487002555,0.10527895274929046,0.3071529264761316,0.03039141585490235,0.21781021396854305,0.0154279407946393,2,4,136.0
0.34125000000000005,0.015416666666666662,bo_marginal_random,1.0535025801816311,0.035784601651654424,-0.4621888094509198,0.0016493138465003276,0.9405938333201893,0.006668466096685144,0.27152605143275665,0.0019250203480015438,0.2011351068414885,0.00549179782757557,2,4,136.0
0.36750000000000005,0.018333333333333257,random,1.0321832845378307,0.06006557918608446,-0.482256923805168,0.019285778149552735,0.994763874465497,0.030123435847069502,0.2871635953513849,0.008695886897610944,0.21728322477966028,0.019533113672142263,2,5,150.0
0.36875,0.040416666666666656,fixed_dumb,1.0140712341742892,0.049834472576519184,-0.47714465351871593,0.03346809981340315,0.9822461172462273,0.0636718708553945,0.283550030101287,0.018380485889084558,0.21735151420631965,0.01566755604001145,2,5,150.0
0.29583333333333334,0.06499999999999999,bo,0.9910601171150974,0.07894975565007928,-0.4410399923389163,0.052605230692011284,0.9282948726089841,0.09858921575268487,0.2679756472940732,0.028460255127003356,0.19666854916063664,0.01891302274386253,2,5,150.0
0.33375,0.01458333333333331,bo_marginal_random,1.0351988010600086,0.01875141770892319,-0.4626453318659997,0.01273898665392642,0.9550110789658313,0.025003925467401322,0.27568795175999883,0.0072180115497007535,0.20301828178448506,0.006828657747722497,2,5,150.0
0.2958333333333334,0.030833333333333324,random,1.0057296795136128,0.07375038117676674,-0.4385399247473457,0.03242737123450021,0.9145526989472647,0.06008137766293731,0.264008623462651,0.017343999783490202,0.1920829790993916,0.014953480252621013,2,6,164.0
0.3654166666666667,0.004583333333333356,fixed_dumb,1.0620817399662337,0.04853207195376241,-0.5032008803286168,0.022105092151113448,1.0587629589030028,0.05579299943866123,0.3056385396653267,0.01610605162240386,0.23745715355804028,0.013867133161863138,2,6,164.0
0.2916666666666667,0.004166666666666652,bo,1.01188923120573,0.05680141667045202,-0.44605405396100745,0.028988366374194607,0.9420571139785807,0.0843504980364651,0.2719484641737678,0.02434989137381606,0.18953240644161762,0.006295001493912322,2,6,164.0
