variant,correlation_r,mae,rmse,normalized_rmse,bias,mean_abs_calibration_error,quantile_crossing_rate,coverage_80,mean_width_80,contraction_80,continuous_ppc_normalized_rmse,continuous_ppc_coverage_80,binary_ppc_brier
01_simple_mendeley,0.6118776461705464,6.167134023666382,7.766791678770344,0.7919764038386327,-0.06507194328308105,0.018071428571428565,0.0,0.754,18.221340469360353,0.3102867155613688,0.9627880402546766,0.7933333333333333,0.12672450000000002
02_advanced_mendeley,0.6904911063426364,5.674672912597656,7.105071162111006,0.7245010476291204,0.09761322021484375,0.016499999999999983,0.0,0.761,16.685592166900634,0.3684177848721948,0.9409061148240997,0.8222222222222222,0.12833225
03_advanced_reduced_noise_mendeley,0.8730662847669177,3.800361457824707,4.783903534812032,0.48781258394858834,0.05990695190429687,0.011571428571428562,0.0,0.7775,11.600140455245972,0.5609120532712377,0.8747238842428411,0.8233333333333333,0.1256915277777778
04_advanced_reduced_noise_combined,0.8856964245847739,3.8335013160705564,4.867138284224808,0.45546936636389374,0.02278519058227539,0.010000000000000005,0.0,0.7785,11.753481550216675,0.5757366237785527,0.8944947164984018,0.8033333333333332,0.164084375
