feature,brier_score,log_score,observed_prevalence,mean_predicted_probability
smoke,0.23024375,0.6524948596956839,0.39,0.39485
drink,0.226631,0.645202718439013,0.34,0.4219
hypertension,0.15394025000000003,0.4792576949178921,0.22,0.25005
dyslipidemia,0.041335750000000004,0.18718655713939833,0.04,0.09705
diabetes,0.045507,0.17936080925495154,0.05,0.054500000000000014
cancer,0.000129500000000014,0.009565452555988826,0.0,0.0095000014
cvd,0.142099,0.46431726854222594,0.17,0.11239999999999999
arthritis,0.21903175000000005,0.630939447183898,0.31,0.3612500000000001
koa,0.0816025,0.30199349245553536,0.09,0.10410000000000003
