interval_level,lower_quantile,upper_quantile,empirical_coverage,coverage_error,mean_width,median_width,prior_width,mean_width_over_prior,mean_quantile_contraction
0.5,0.25,0.75,0.4695,-0.030500000000000027,9.74743123626709,9.656116485595703,13.997390747070312,0.6963748753179053,0.3036251246820947
0.8,0.09999999999999998,0.9,0.754,-0.04600000000000004,18.221340469360353,18.12262535095215,26.418717575073238,0.6897132844386312,0.3102867155613688
0.9,0.04999999999999999,0.95,0.8605,-0.03949999999999998,23.074670684814453,22.855873107910156,31.37929725646972,0.7353469549117122,0.2646530450882878
