feature,mae,rmse,observed_std_normalized_rmse,predictive_coverage,mean_predictive_width
bmi,1.606992483139038,2.056014618472744,0.9951552865803609,0.82,5.048841524124145
sbp,6.82252311706543,8.608873078371731,0.5880900189755897,0.9,28.770060935974126
platelets,0.15927644729614257,0.19252135438784837,0.9709049913926433,0.78,0.4765425314903258
crp,0.430014585146273,0.5201443826269285,0.9059392357434737,0.79,1.3635311889121366
hba1c,0.06255585074424744,0.07760240971050303,0.956720475393453,0.76,0.18990709805488584
creatinine,0.09018758974038064,0.1135847234825937,0.7860560305779355,0.83,0.3115455410932191
bun,0.10055503249168396,0.12485830749395294,0.747785186343781,0.82,0.3564014110565186
tc,0.0671379828453064,0.08456446817208213,0.92852496571456,0.86,0.2532642183303833
tg,0.19590869426727295,0.253487197418963,0.9933387674637727,0.85,0.701786129951477
