quantile_level,empirical_frequency,calibration_error,absolute_calibration_error,pointwise_lower,pointwise_upper,inside_pointwise_band
0.05,0.067,0.017,0.017,0.038,0.063,False
0.1,0.1155,0.0155,0.0155,0.083,0.1175,True
0.25,0.2665,0.016500000000000015,0.016500000000000015,0.2255,0.275,True
0.5,0.5055,0.005499999999999949,0.005499999999999949,0.471,0.529,True
0.75,0.7385,-0.011499999999999955,0.011499999999999955,0.725,0.7745,True
0.9,0.893,-0.007000000000000006,0.007000000000000006,0.8825,0.917,True
0.95,0.942,-0.008000000000000007,0.008000000000000007,0.937,0.962,True
