loss,mean/inference_mean,quantiles/inference_quantiles,val_loss,val_mean/inference_mean,val_quantiles/inference_quantiles
0.231472909450531,0.3214045464992523,0.1415412575006485,0.1834447979927063,0.24607998132705688,0.12080961465835571
0.1844780445098877,0.25147223472595215,0.11748383939266205,0.1576814502477646,0.20696811378002167,0.10839478671550751
0.19327300786972046,0.26699215173721313,0.11955386400222778,0.19524464011192322,0.27639827132225037,0.11409102380275726
0.18767693638801575,0.2635212540626526,0.1118326187133789,0.20976319909095764,0.2983912229537964,0.1211351677775383
0.18842381238937378,0.26230353116989136,0.1145441010594368,0.16848412156105042,0.23127073049545288,0.10569752752780914
0.18062083423137665,0.24711668491363525,0.11412498354911804,0.15740150213241577,0.2103193998336792,0.10448358952999115
0.174262136220932,0.23812416195869446,0.11040012538433075,0.16347770392894745,0.22271402180194855,0.10424138605594635
0.1607465147972107,0.2151847779750824,0.1063082367181778,0.20737561583518982,0.2929312288761139,0.12182001769542694
0.18602648377418518,0.2576255202293396,0.11442743241786957,0.17632560431957245,0.24297687411308289,0.10967432707548141
0.1553937792778015,0.20523680746555328,0.10555075109004974,0.19277352094650269,0.27057138085365295,0.11497566103935242
0.1856136918067932,0.25716331601142883,0.11406406760215759,0.13880369067192078,0.18107225000858307,0.09653511643409729
0.14970211684703827,0.19947418570518494,0.099930040538311,0.17372150719165802,0.23752358555793762,0.10991942137479782
0.16863566637039185,0.22923189401626587,0.10803945362567902,0.16047453880310059,0.21550270915031433,0.10544638335704803
0.2086007297039032,0.29202407598495483,0.12517738342285156,0.165281742811203,0.22270485758781433,0.10785861313343048
0.1805286407470703,0.24759554862976074,0.11346172541379929,0.20968516170978546,0.29446595907211304,0.12490437179803848
0.18615984916687012,0.25877299904823303,0.1135467067360878,0.18806621432304382,0.2617356479167938,0.11439679563045502
0.16882285475730896,0.2305508702993393,0.10709483921527863,0.196114644408226,0.2740249037742615,0.11820438504219055
0.19046470522880554,0.2636025547981262,0.11732685565948486,0.16218262910842896,0.21817904710769653,0.10618621110916138
0.18886372447013855,0.26271024346351624,0.11501721292734146,0.1536189168691635,0.20561595261096954,0.10162188857793808
0.17849600315093994,0.24411974847316742,0.11287227272987366,0.18863177299499512,0.26256757974624634,0.11469598114490509
0.1779259741306305,0.2433212548494339,0.11253070086240768,0.17641296982765198,0.24074885249137878,0.11207707226276398
0.15193912386894226,0.20329807698726654,0.10058016330003738,0.2096329927444458,0.2972310781478882,0.12203489989042282
0.16717469692230225,0.22623774409294128,0.10811163485050201,0.15887144207954407,0.21359951794147491,0.10414338111877441
0.15757237374782562,0.21165461838245392,0.10349012166261673,0.18648435175418854,0.25877460837364197,0.1141941025853157
0.16648685932159424,0.22653813660144806,0.10643559694290161,0.19387449324131012,0.26969441771507263,0.11805456876754761
0.16169433295726776,0.2190101593732834,0.10437849909067154,0.1971495896577835,0.2730485796928406,0.12125059962272644
0.14509442448616028,0.1893845945596695,0.10080426931381226,0.16777198016643524,0.22759032249450684,0.10795363783836365
0.1551339030265808,0.20877182483673096,0.10149598866701126,0.20410093665122986,0.28604668378829956,0.12215520441532135
0.1910860240459442,0.26585641503334045,0.11631563305854797,0.19413498044013977,0.27000293135643005,0.1182670146226883
0.19320400059223175,0.26984503865242004,0.11656296998262405,0.17150551080703735,0.23455201089382172,0.10845901072025299
0.17043417692184448,0.2302476167678833,0.11062074452638626,0.1509665846824646,0.2014923095703125,0.1004408672451973
0.1430773138999939,0.18752926588058472,0.09862536936998367,0.18740332126617432,0.2609361708164215,0.11387048661708832
0.14518162608146667,0.19045913219451904,0.0999041274189949,0.20546701550483704,0.2892293334007263,0.12170471251010895
0.1776048243045807,0.24279364943504333,0.11241601407527924,0.17922565340995789,0.2459934651851654,0.11245782673358917
0.1510974019765854,0.20042067766189575,0.10177413374185562,0.18903684616088867,0.2616850435733795,0.11638864129781723
0.1533074527978897,0.2025023102760315,0.10411259531974792,0.1592462658882141,0.21536418795585632,0.1031283363699913
0.17044389247894287,0.22982370853424072,0.11106406152248383,0.14243502914905548,0.18855790793895721,0.09631215780973434
0.15811501443386078,0.21284286677837372,0.10338716208934784,0.21589532494544983,0.3082556128501892,0.12353502213954926
0.16118192672729492,0.21687084436416626,0.10549301654100418,0.17487499117851257,0.2399360090494156,0.10981397330760956
0.18566524982452393,0.25589632987976074,0.1154341772198677,0.1782785952091217,0.24625641107559204,0.11030076444149017
