batch,batch_sizes,batch_theta_mode,budget,coverage_error,design_space,estimator,initial,initial_design_mode,method,posterior_mean_predictive_rmse,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_abs_neg_coverage_error,reward_abs_neg_predictive_rmse,reward_abs_neg_prior_std_rmse,reward_abs_neg_range_rmse,reward_abs_neg_range_rmse_alpha,reward_abs_neg_range_rmse_beta,reward_abs_neg_range_rmse_delta,reward_abs_neg_range_rmse_gamma,reward_abs_neg_raw_rmse,reward_abs_rmse_coverage,reward_abs_rmse_coverage_predictive,reward_abs_rmse_predictive,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,role,seed,simulations,target_mode,validation
14,"14,56,112,224",paired,500,0.255,wide_window,rectified_fmpe,500,categorical,rectified_fmpe,1.1084660366849577,0.8982932014350116,1.0526137626386778,0.8766186504987984,0.7400346129562283,0.9239057796463417,0.25931491082985736,0.30386341960607277,0.25305800692106384,0.21362959149995947,0.26670862529233325,0.20239892664368006,0,-0.255,-1.1084660366849577,-0.8982932014350116,-0.25931491082985736,-0.30386341960607277,-0.25305800692106384,-0.21362959149995947,-0.26670862529233325,-0.20239892664368006,-0.32306491082985733,-0.43391151449835313,-0.3701615144983531,0.30386341960607277,0.015183480415263831,0.012817775489997569,0.26670862529233325,base_initial,717,500,validation_set,100
14,"14,56,112,224",paired,500,0.29250000000000004,wide_window,rectified_fmpe,500,categorical,rectified_fmpe,0.9114487201081137,0.8591001991116434,0.8860171004540474,0.9129786195831624,0.6932646129209749,0.9441404634883889,0.24800086560898424,0.255771105726878,0.2635542258903559,0.20012825544478327,0.2725498753739197,0.18714735960339668,1,-0.29250000000000004,-0.9114487201081137,-0.8591001991116434,-0.24800086560898424,-0.255771105726878,-0.2635542258903559,-0.20012825544478327,-0.2725498753739197,-0.18714735960339668,-0.32112586560898426,-0.4122707376197956,-0.3391457376197956,0.255771105726878,0.015813253553421353,0.012007695326686996,0.2725498753739197,base_initial,10717,500,validation_set,100
14,"14,56,112,224",paired,500,0.3375000000000001,wide_window,rectified_fmpe,500,categorical,rectified_fmpe,1.1186750898571352,0.9528349145018522,1.055519300856355,0.9751490205977192,0.800427192456876,0.9802441440964585,0.2750597471904593,0.30470217624213114,0.2815012747710466,0.2310634275158369,0.28297211023282237,0.20820309265663328,2,-0.3375000000000001,-1.1186750898571352,-0.9528349145018522,-0.2750597471904593,-0.30470217624213114,-0.2815012747710466,-0.2310634275158369,-0.28297211023282237,-0.20820309265663328,-0.3594347471904593,-0.47130225617617283,-0.3869272561761728,0.30470217624213114,0.016890076486262794,0.013863805650950212,0.28297211023282237,base_initial,20717,500,validation_set,100
