batch,bo_random_fraction,budget,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,pred0,predictive_weight,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,structured_label,structured_policy,t_end,t_span,t_start,target_mode,target_psi_unit,target_seed,target_theta,validation
14,0.2,500,0.4175,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_short_early,10,0.06,8,1.0722487577758224,-0.5253595668840076,32,15.0,0.1,40.0,1.086895452726891,1.2110989415398838,0.9997921341125395,0.9241694636732305,1.2125212715819107,0.0,0.0,0.31375969110642543,0.34961414995666146,0.28861512888177254,0.26678474431428584,0.3500247412729818,0.2476406042058948,0,rmse_coverage_predictive,0.34961414995666146,0.017316907732906353,0.01600708465885715,0.3500247412729818,30,30,717,500,short early,short_early,2.0,2.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.44250000000000006,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_short_late,10,0.06,8,1.095797607781196,-0.5598346969194812,32,15.0,0.1,40.0,1.1765126103364232,1.2163596619332933,1.0498550846791015,1.1767742960062346,1.2630613987270634,0.0,1.0,0.3396299361413616,0.3511327891242946,0.30306705787478827,0.33970547828731595,0.3646144192790477,0.25346795082276863,0,rmse_coverage_predictive,0.3511327891242946,0.018184023472487296,0.020382328697238956,0.3646144192790477,30,30,717,500,short late,short_late,40.0,2.0,38.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.4383333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_long_early,10,0.06,8,1.006221437755513,-0.47614741848669884,32,15.0,0.1,40.0,0.9212499086597562,1.074643998738639,1.001757935279148,0.7401123147605572,0.8684853858606809,1.0,0.0,0.26594194137781424,0.31022300097738453,0.2891826067981299,0.21365202207878237,0.2507101356569601,0.1997243525564372,0,rmse_coverage_predictive,0.31022300097738453,0.017350956407887794,0.01281912132472694,0.2507101356569601,30,30,717,500,long early,long_early,24.0,24.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.45083333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_long_late,10,0.06,8,0.9084088555858538,-0.4821130887803235,32,15.0,0.1,40.0,0.9649735515994463,0.909692066109662,0.9000490887727339,0.9583111716641216,1.0918418798512672,1.0,1.0,0.27856386988840476,0.26260547962404013,0.2598217918434077,0.27664060646385313,0.3151876016223181,0.2054406220445352,0,rmse_coverage_predictive,0.26260547962404013,0.01558930751060446,0.01659843638783119,0.3151876016223181,30,30,717,500,long late,long_late,40.0,24.0,16.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.38916666666666666,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_medium_mid,10,0.06,8,0.8470700453975433,-0.43288287336340375,32,15.0,0.1,40.0,0.8690883699045509,0.8779655971192892,0.8887013302409162,0.7443905437417548,0.965296008516243,0.5,0.5,0.25088420215698276,0.2534468369180261,0.2565459761218858,0.214887040405757,0.27865695518226213,0.1886055208735928,0,rmse_coverage_predictive,0.2534468369180261,0.015392758567313146,0.012893222424345421,0.27865695518226213,30,30,717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.37166666666666665,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_short_early,10,0.06,8,1.0531693806133005,-0.5300163520729826,32,15.0,0.1,40.0,1.1493291509526071,1.05961132085977,1.062156673000438,1.0304556067450137,1.4450930032052067,0.0,0.0,0.33178274734498586,0.3058834406673816,0.3066182205391801,0.2974669109710964,0.4171624172022855,0.25896243273263153,1,rmse_coverage_predictive,0.3058834406673816,0.018397093232350805,0.017848014658265784,0.4171624172022855,30,30,10717,500,short early,short_early,2.0,2.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.3408333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_short_late,10,0.06,8,0.9512772729517944,-0.46330701892388965,32,15.0,0.1,40.0,0.9802401536680931,0.9589537034307789,1.044922416980777,0.8884035321347483,1.0286809621260684,0.0,1.0,0.2829709582953769,0.2768260894080744,0.30164311936306293,0.25646000921350565,0.29695461519686445,0.20333412427068817,1,rmse_coverage_predictive,0.2768260894080744,0.018098587161783777,0.015387600552810339,0.29695461519686445,30,30,10717,500,short late,short_late,40.0,2.0,38.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.3766666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_long_early,10,0.06,8,0.9694768481683399,-0.4849026712813388,32,15.0,0.1,40.0,1.0177125931202982,1.126572197592721,1.1011720456980505,0.7887270047308057,1.0543791244596157,1.0,0.0,0.29378831979783815,0.32521338077085293,0.3178809885039302,0.22768587424922895,0.3043730356673406,0.2230230307179202,1,rmse_coverage_predictive,0.32521338077085293,0.01907285931023581,0.013661152454953737,0.3043730356673406,30,30,10717,500,long early,long_early,24.0,24.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.3491666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_long_late,10,0.06,8,0.8915077260823815,-0.43937205429354687,32,15.0,0.1,40.0,0.910814904053626,0.8504773835537276,0.9938274963547714,0.8261126277288846,0.9728421085771202,1.0,1.0,0.26292961501864204,0.24551167316721664,0.28689328627423955,0.23847817400011032,0.28083532663300176,0.1868458648835265,1,rmse_coverage_predictive,0.24551167316721664,0.017213597176454373,0.014308690440006619,0.28083532663300176,30,30,10717,500,long late,long_late,40.0,24.0,16.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.31916666666666665,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,structured_medium_mid,10,0.06,8,0.9226040840113693,-0.43586620697948414,32,15.0,0.1,40.0,0.9138789604514174,0.7970181398414667,0.93804870374623,0.7945199384201644,1.125929059797808,0.5,0.5,0.26381413191168057,0.23007931879324284,0.2707913358104327,0.2293581501617034,0.3250277228813434,0.19939462929623894,1,rmse_coverage_predictive,0.23007931879324284,0.01624748014862596,0.013761489009702204,0.3250277228813434,30,30,10717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
